time,total,idle,mem_total,mem_free,1762/cpu,1762/rss,6171/cpu,6171/rss,7479/cpu,7479/rss
1003.04,1717551,1525322,3887864,427492,70901,675064,5277,56344,862,18328
2004.05,1717949,1525714,3887864,427880,70908,675084,5277,56344,862,18328
3006.12,1718347,1526101,3887864,427880,70916,675220,5277,56344,862,18328
4007.21,1718744,1526460,3887864,423804,70928,675252,5278,56344,862,18332
5008.41,1719140,1526851,3887864,423804,70935,675256,5278,56344,862,18332
6009.44,1719539,1527237,3887864,424176,70943,675256,5278,56344,862,18332
7010.48,1719934,1527620,3887864,424428,70951,675276,5278,56344,862,18336
8014.53,1720331,1527954,3887864,424228,71002,675300,5278,56344,862,18336
9016.73,1720727,1528301,3887864,423928,71044,675304,5280,56344,863,18336
10019.23,1721121,1528667,3887864,423928,71061,675336,5281,56344,863,18336
11020.61,1721500,1528855,3887864,423892,71147,674200,5297,56344,863,18336
12022.95,1721888,1529131,3887864,423940,71164,674200,5299,56344,864,18336
13025.91,1722274,1529406,3887864,425208,71181,674200,5300,56344,864,18336
14028.75,1722661,1529662,3887864,429184,71198,674200,5303,56344,864,18336
15031.18,1723044,1529945,3887864,427024,71211,675856,5303,56344,864,18336
16032.53,1723431,1530246,3887864,426504,71234,675860,5308,56344,865,18336
17033.68,1723830,1530630,3887864,426256,71244,675860,5308,56344,865,18336
18034.82,1724223,1531005,3887864,426256,71259,675856,5310,56344,865,18336
19035.99,1724621,1531390,3887864,426256,71265,675860,5311,56344,866,18336
20037.22,1725018,1531772,3887864,426016,71274,675860,5314,56344,866,18336
21039.52,1725414,1532150,3887864,426048,71290,675860,5315,56344,866,18336
22042.54,1725811,1532526,3887864,426864,71301,675860,5315,56344,866,18336
23044.66,1726203,1532896,3887864,427076,71317,675864,5315,56344,866,18336
24046.05,1726595,1533248,3887864,417040,71337,675864,5317,56344,867,18336
25047.13,1726992,1533632,3887864,425144,71346,675864,5318,56344,867,18336
26049.21,1727390,1534018,3887864,424996,71353,675864,5318,56344,867,18336
