time,sent,received,total
1.36,5765.8,1692.95,7.28
1001.99,5766.96,1694.07,7.29
2002.58,5769.28,1696.13,7.29
3003.17,5769.28,1696.19,7.29
4003.76,5771.51,1699.42,7.29
5004.82,5773.39,1701.25,7.3
6005.84,5777.1,1704.8,7.31
7006.94,5778.97,1706.62,7.31
8008.08,5781.0,1710.13,7.32
9009.18,5784.8,1712.24,7.32
10010.38,5788.6,1715.93,7.33
11011.15,5892.12,1746.99,7.46
12011.74,5962.69,1775.09,7.56
13012.33,5968.4,1777.57,7.56
14012.88,5979.52,1786.55,7.58
15013.46,5991.1,1795.08,7.6
16014.12,6010.17,1809.05,7.64
17014.74,6082.43,1840.37,7.74
18015.25,6112.64,1862.67,7.79
19015.79,6148.31,1888.04,7.85
20016.29,6185.28,1916.73,7.91
21016.92,6219.27,1943.95,7.97
22017.54,6271.06,1961.12,8.04
23018.15,6283.42,1965.42,8.05
24018.75,6285.25,1967.31,8.06
25019.34,6289.08,1971.01,8.07
26019.93,6291.18,1973.05,8.07
27021.03,6293.17,1974.91,8.07
28022.03,6294.95,1976.77,8.08
29023.14,6297.24,1978.77,8.08
30024.32,6299.17,1981.86,8.09
31025.38,6299.17,1981.92,8.09
32026.32,6302.2,1984.79,8.09
