time,sent,received,total
2.16,7561.53,56573.06,62.63
1002.95,7563.19,56573.74,62.63
2004.23,7565.8,56576.89,62.64
3005.78,7567.62,56578.77,62.64
4007.17,7569.49,56580.66,62.65
5008.6,7575.34,56585.09,62.66
6009.99,7577.87,56587.99,62.66
7010.85,7581.59,56591.56,62.67
8011.54,7585.57,56595.39,62.68
9012.21,7587.71,56597.26,62.68
10012.89,7589.64,56599.17,62.68
11013.81,7670.34,58525.39,64.64
12015.01,7706.04,58565.74,64.72
13015.95,7738.38,58596.8,64.78
14016.7,7766.81,58625.65,64.84
15017.56,7796.47,58655.2,64.89
16018.34,7822.85,58718.7,64.98
17019.02,7825.41,58724.04,64.99
18020.04,7827.3,58725.96,64.99
19020.83,7829.23,58727.89,65.0
20021.54,7833.18,58731.54,65.0
21022.21,7834.99,58733.45,65.01
22024.27,7840.11,58737.2,65.02
23025.32,7843.86,58740.75,65.02
24026.49,7845.75,58742.66,65.03
25027.61,7848.57,58745.33,65.03
26028.91,7849.0,58745.77,65.03
27030.14,7857.09,58768.7,65.06
