time,total,idle,mem_total,mem_free,1687/cpu,1687/rss,6122/cpu,6122/rss,6227/cpu,6227/rss
1005.22,564126,529160,3887864,1470848,438,87564,555,20508,1778,53280
2007.65,564516,529525,3887864,1470808,439,87564,558,20508,1787,53352
3008.91,564912,529889,3887864,1467432,439,87564,559,20508,1789,53404
4009.9,565312,530281,3887864,1467916,439,87564,560,20508,1790,53444
5010.88,565711,530674,3887864,1468552,439,87564,560,20508,1791,53528
6011.9,566109,531068,3887864,1469472,439,87564,560,20508,1791,53552
7012.95,566508,531457,3887864,1469220,439,87564,561,20508,1793,53584
8015.08,566902,531821,3887864,1469556,439,87564,561,20508,1793,53584
9016.69,567295,532185,3887864,1470056,440,87564,561,20508,1795,53588
10019.13,567693,532573,3887864,1470404,440,87564,562,20508,1795,53624
11021.32,568084,532906,3887864,1470040,440,87564,562,20508,1811,53516
12022.59,568489,533233,3887864,1462524,441,87564,562,20508,1812,53528
13023.75,568886,533552,3887864,1468956,441,87564,563,20508,1813,53540
14025.01,569281,533868,3887864,1468260,441,87564,563,20508,1813,53544
15026.18,569679,534187,3887864,1464816,441,87564,563,20508,1814,53548
16027.4,570073,534502,3887864,1459264,441,87564,564,20508,1815,53552
17030.08,570472,534877,3887864,1459264,441,87564,565,20508,1819,53632
18032.78,570870,535245,3887864,1459500,441,87564,565,20508,1821,53632
19034.02,571263,535614,3887864,1458076,442,87564,565,20508,1822,53632
20035.09,571661,536008,3887864,1457828,442,87564,565,20508,1822,53632
21036.16,572063,536400,3887864,1458120,442,87564,565,20508,1822,53632
22037.19,572462,536796,3887864,1458136,442,87564,565,20508,1822,53632
23038.25,572859,537176,3887864,1453028,442,87564,566,20508,1822,53632
24040.78,573256,537567,3887864,1453292,442,87564,566,20508,1822,53640
25043.42,573656,537956,3887864,1454964,442,87564,566,20508,1824,53640
26046.1,574049,538320,3887864,1455352,443,87564,567,20508,1825,53640
27048.86,574446,538713,3887864,1456072,444,87564,567,20508,1825,53640
28051.56,574842,539074,3887864,1456516,444,87564,567,20508,1828,53648
