time,total,idle,mem_total,mem_free,1818/cpu,1818/rss,1845/cpu,1845/rss,1863/cpu,1863/rss,1902/cpu,1902/rss,1932/cpu,1932/rss,1933/cpu,1933/rss
1004.16,1799985,1667150,3887864,1869660,4057,109780,15430,128064,43918,342312,103,79200,1432,63540,7563,115612
2005.67,1800383,1667546,3887864,1870136,4057,109780,15432,128064,43920,342312,103,79200,1432,63540,7564,115612
3007.22,1800786,1667917,3887864,1871988,4058,109780,15433,128064,43926,342312,103,79200,1433,63540,7566,115612
4010.6,1801187,1668303,3887864,1872232,4059,109780,15436,128064,43931,342312,103,79200,1433,63540,7567,115612
5012.24,1801583,1668661,3887864,1870892,4059,109780,15439,128064,43940,342312,103,79200,1433,63540,7569,115612
6013.78,1801982,1669051,3887864,1871036,4061,109780,15442,128064,43945,342312,103,79200,1433,63540,7570,115612
7015.3,1802382,1669423,3887864,1876864,4061,109780,15443,128064,43950,342312,103,79200,1434,63540,7571,115612
8016.83,1802781,1669817,3887864,1876876,4061,109780,15444,128064,43953,342312,103,79200,1434,63540,7572,115612
9018.75,1803179,1670197,3887864,1869824,4061,109780,15446,128064,43956,342312,103,79200,1434,63540,7573,115612
10026.65,1803574,1670557,3887864,1865452,4062,109780,15448,128064,43963,342312,103,79200,1434,63540,7575,115612
11030.38,1803968,1670850,3887864,1868556,4062,109780,15460,128068,44000,342312,103,79200,1435,63540,7577,115616
12031.92,1804365,1671195,3887864,1869864,4063,109780,15465,128068,44020,342312,103,79200,1435,63540,7579,115616
13034.13,1804764,1671588,3887864,1870568,4063,109780,15466,128068,44023,342312,103,79200,1435,63540,7579,115616
14036.68,1805166,1671959,3887864,1866884,4063,109780,15468,128068,44027,342312,103,79200,1437,63540,7581,115616
15038.35,1805561,1672347,3887864,1868044,4064,109780,15470,128068,44032,342312,103,79200,1437,63540,7582,115616
16040.0,1805957,1672699,3887864,1865732,4064,109780,15475,128068,44047,342316,103,79200,1437,63540,7584,115616
17041.91,1806353,1673090,3887864,1867388,4065,109780,15476,128068,44051,342316,103,79200,1438,63540,7586,115624
18043.49,1806754,1673463,3887864,1874080,4065,109780,15478,128068,44055,342316,103,79200,1438,63540,7587,115624
19045.15,1807154,1673855,3887864,1874464,4067,109652,15479,128068,44058,342316,103,79200,1438,63540,7588,115624
20046.7,1807556,1674222,3887864,1869352,4068,109652,15481,128068,44064,342316,103,79200,1438,63540,7589,115624
21049.82,1807945,1674580,3887864,1874268,4068,109652,15488,128072,44075,342316,105,79200,1439,63540,7591,115624
22055.5,1808342,1674959,3887864,1870240,4069,109652,15490,128072,44081,342316,105,79200,1439,63540,7593,115624
