time,total,idle,mem_total,mem_free,1687/cpu,1687/rss,6122/cpu,6122/rss,6227/cpu,6227/rss
1003.9,252942,234482,3887864,1709120,279,87496,242,19800,702,52756
2006.16,253339,234869,3887864,1709064,279,87496,242,19812,703,52776
3008.7,253739,235239,3887864,1709092,279,87496,244,19836,706,52832
4010.97,254137,235619,3887864,1709128,280,87496,246,19860,709,52880
5013.45,254532,235995,3887864,1708660,280,87496,249,20048,715,52936
6015.43,254924,236372,3887864,1708620,281,87496,250,20100,717,52936
7017.93,255321,236732,3887864,1708132,281,87496,252,20184,722,53008
8019.26,255715,237086,3887864,1703944,281,87496,254,20252,726,53032
9020.32,256114,237476,3887864,1703796,282,87496,255,20256,727,53040
10021.33,256516,237865,3887864,1703304,282,87496,256,20260,728,53040
11023.69,256904,238189,3887864,1673092,282,87496,256,20264,739,53048
12025.08,257305,238523,3887864,1669064,282,87496,256,20264,739,53048
13027.68,257700,238826,3887864,1669064,282,87496,257,20268,740,53048
14028.81,258097,239160,3887864,1667212,282,87496,258,20276,744,53048
15029.84,258498,239555,3887864,1667684,282,87496,258,20284,744,53048
16030.88,258896,239939,3887864,1667188,282,87496,258,20292,744,53048
17031.87,259294,240326,3887864,1666904,282,87496,258,20292,745,53048
18032.85,259692,240721,3887864,1667044,282,87496,258,20300,746,53048
19033.85,260090,241092,3887864,1669176,282,87496,259,20300,746,53048
20034.88,260489,241488,3887864,1669492,282,87496,259,20300,746,53048
21035.89,260888,241879,3887864,1671356,282,87496,259,20300,749,53048
22036.88,261287,242270,3887864,1672760,283,87496,259,20300,749,53048
23037.87,261685,242658,3887864,1673892,283,87496,260,20300,749,53048
24040.24,262084,243045,3887864,1674160,283,87496,260,20300,750,53048
25043.04,262478,243426,3887864,1674584,283,87496,260,20300,753,53048
