time,sent,received,total
2.89,14317.07,5869.99,19.71
1003.95,14326.16,5872.93,19.73
2005.41,14333.1,5875.55,19.73
3006.02,14342.34,5877.33,19.75
4006.6,14342.56,5878.41,19.75
5007.18,14344.4,5880.37,19.75
6008.06,14346.74,5882.55,19.75
7009.12,14351.08,5885.91,19.76
8009.86,14353.19,5887.91,19.77
9010.45,14355.19,5889.77,19.77
10011.16,14359.22,5893.85,19.78
11011.81,14581.68,5964.3,20.06
12012.32,14620.15,5989.72,20.13
13013.72,14655.38,6016.33,20.19
14014.23,14690.47,6042.66,20.25
15014.82,14749.87,6060.66,20.32
16015.41,14755.05,6062.85,20.33
17016.11,14760.4,6068.93,20.34
18016.93,14760.46,6068.99,20.34
19017.6,14760.79,6069.15,20.34
20018.16,14762.69,6071.02,20.34
21018.73,14765.09,6073.08,20.35
22019.33,14767.53,6075.23,20.35
23019.95,14769.54,6077.09,20.36
24020.91,14772.23,6079.67,20.36
25021.65,14776.1,6084.4,20.37
