time,total,idle,mem_total,mem_free,1818/cpu,1818/rss,1845/cpu,1845/rss,1863/cpu,1863/rss,1902/cpu,1902/rss,1932/cpu,1932/rss,1933/cpu,1933/rss
1004.4,617093,571315,3887864,2128480,2909,111392,5090,74612,13975,327088,56,79192,602,63424,2846,113232
2005.85,617491,571693,3887864,2121088,2909,111392,5091,74612,13977,327088,56,79192,602,63424,2847,113232
3007.32,617889,572059,3887864,2117120,2910,111392,5095,74612,13985,327092,56,79192,602,63424,2848,113232
4008.8,618286,572452,3887864,2121468,2910,111392,5096,74612,13987,327092,56,79192,602,63424,2849,113232
5012.14,618683,572819,3887864,2125080,2910,111392,5097,74612,13994,327092,56,79192,603,63424,2851,113232
6016.08,619082,573200,3887864,2125080,2911,111392,5103,74616,14003,327092,56,79192,603,63424,2853,113232
7017.67,619475,573555,3887864,2121300,2911,111392,5106,74616,14012,327092,56,79192,603,63424,2855,113232
8019.13,619875,573947,3887864,2121800,2912,111392,5108,74616,14016,327092,56,79192,604,63424,2855,113232
9020.63,620273,574315,3887864,2131112,2912,111392,5111,74616,14023,327092,56,79192,604,63424,2857,113232
10022.47,620671,574708,3887864,2127984,2912,111392,5112,74616,14024,327092,56,79192,604,63424,2858,113232
11024.75,621065,574949,3887864,2110320,2913,111392,5125,74620,14105,327840,56,79192,604,63424,2861,113232
12027.19,621458,575314,3887864,2101328,2913,111392,5127,74620,14113,327892,56,79192,605,63424,2863,113232
13030.38,621855,575693,3887864,2100640,2913,111392,5129,74620,14117,327892,56,79192,605,63424,2864,113232
14031.97,622254,576073,3887864,2103224,2913,111392,5131,74620,14121,327892,56,79192,605,63424,2865,113232
15033.47,622653,576465,3887864,2105676,2914,111392,5132,74620,14124,327892,56,79192,605,63424,2866,113232
16034.96,623050,576834,3887864,2105584,2914,111392,5135,74624,14130,327896,56,79192,605,63424,2866,113232
17038.38,623448,577220,3887864,2107704,2914,111392,5138,74624,14136,327896,56,79192,605,63424,2868,113232
18040.07,623851,577581,3887864,2111400,2915,111392,5141,74676,14142,327900,56,79192,606,63424,2869,113232
19041.63,624249,577967,3887864,2111572,2915,111392,5146,74788,14149,327900,56,79192,606,63424,2870,113232
20043.17,624646,578334,3887864,2114308,2916,111392,5148,74788,14156,327924,56,79192,606,63424,2872,113232
21044.82,625046,578726,3887864,2123436,2916,111392,5150,74788,14159,327976,56,79192,606,63424,2873,113232
