time,sent,received,total
3.7,11989.04,90532.67,100.12
1004.67,11990.93,90534.69,100.12
2005.41,11992.63,90534.79,100.12
3006.07,11996.38,90540.76,100.13
4006.78,11998.21,90542.67,100.14
5007.45,11999.97,90544.42,100.14
6008.56,12003.83,90548.19,100.15
7009.99,12005.72,90550.14,100.15
8011.53,12009.72,90553.95,100.16
9012.76,12012.46,90556.48,100.16
10014.17,12014.45,90558.31,100.17
11015.15,12078.39,91059.88,100.72
12016.37,12112.3,91098.64,100.79
13017.46,12145.62,91130.61,100.86
14018.28,12186.62,91581.82,101.34
15018.97,12187.17,91584.88,101.34
16020.2,12189.3,91586.82,101.34
17021.77,12191.46,91588.89,101.35
18023.1,12194.2,91597.3,101.36
19024.16,12198.51,91605.83,101.37
20025.35,12202.46,91615.54,101.38
21026.12,12206.47,91619.47,101.39
22026.79,12208.62,91621.36,101.4
23027.47,12212.31,91624.96,101.4
24028.16,12219.64,91659.92,101.44
25028.89,12229.28,91698.48,101.49
