time,total,idle,mem_total,mem_free,10398/cpu,10398/rss,10938/cpu,10938/rss,4476/cpu,4476/rss,4497/cpu,4497/rss,4508/cpu,4508/rss,4603/cpu,4603/rss,4604/cpu,4604/rss
1004.52,3943561,3889586,16370444,11094260,384,18332,1154,56892,1496,110600,6118,63196,11882,346048,580,63392,4099,114232
2009.32,3944159,3890174,16370444,11094260,384,18332,1154,56892,1497,110600,6119,63204,11885,346048,580,63392,4099,114232
3014.93,3944761,3890757,16370444,11099304,384,18336,1154,56892,1497,110600,6122,63236,11889,346048,580,63392,4101,114232
4018.99,3945359,3891347,16370444,11099080,385,18336,1156,56892,1497,110600,6124,61756,11893,346048,580,63392,4102,114232
5023.65,3945956,3891930,16370444,11115464,385,18336,1156,56892,1497,110600,6125,61756,11896,346048,580,63392,4103,114232
6028.12,3946554,3892523,16370444,11114960,385,18336,1156,56892,1498,110600,6127,61756,11899,346048,580,63392,4104,114232
7033.91,3947156,3893104,16370444,11112048,386,18336,1156,56892,1498,110600,6127,61756,11901,346048,581,63392,4106,114232
8038.54,3947755,3893695,16370444,11112048,386,18340,1156,56892,1499,110600,6128,61756,11903,346048,581,63392,4106,114232
9041.74,3948352,3894281,16370444,11110816,386,18340,1156,56892,1499,110600,6129,61756,11906,346048,581,63392,4108,114232
10046.12,3948952,3894868,16370444,11094184,386,18340,1156,56892,1499,110600,6131,61756,11909,346048,582,63392,4109,114232
11047.9,3949549,3895324,16370444,11093516,386,18340,1160,56904,1499,110600,6139,61216,11932,346052,582,63392,4110,114232
12051.2,3950143,3895833,16370444,11092764,386,18340,1161,56904,1499,110600,6142,61164,11936,346052,582,63392,4110,114232
13052.7,3950739,3896413,16370444,11094564,386,18340,1161,56904,1500,110600,6145,61212,11941,346052,582,63392,4112,114232
14057.74,3951338,3897005,16370444,11094564,386,18340,1161,56904,1500,110600,6146,61268,11944,346052,582,63392,4112,114232
15062.23,3951936,3897591,16370444,11095688,386,18340,1162,56904,1500,110600,6148,61276,11947,346052,582,63392,4114,114232
16070.86,3952537,3898184,16370444,11097412,386,18340,1162,56904,1501,110600,6150,61332,11950,346052,582,63392,4115,114232
17072.67,3953135,3898769,16370444,11102380,386,18340,1162,56904,1501,110600,6150,61340,11952,346052,582,63392,4115,114232
18074.88,3953729,3899348,16370444,11099104,386,18340,1163,56908,1502,110600,6153,61380,11956,346052,582,63392,4117,114232
19078.94,3954329,3899932,16370444,11095372,386,18340,1164,56908,1502,110600,6155,61452,11960,346052,582,63392,4118,114232
20083.72,3954929,3900526,16370444,11095372,386,18340,1164,56908,1502,110600,6155,61452,11962,346052,583,63392,4119,114232
21087.64,3955527,3901106,16370444,11104940,387,18340,1165,56660,1502,110600,6159,61528,11966,346056,583,63392,4120,114232
22091.98,3956123,3901692,16370444,11104940,387,18340,1165,56660,1503,110600,6161,61528,11969,346056,583,63392,4120,114232
