time,sent,received,total
2.04,293314.0,1241524.86,1498.87
1003.83,293318.49,1241526.45,1498.87
2008.28,293327.5,1241538.94,1498.89
3011.97,293330.57,1241541.19,1498.9
4017.42,293334.56,1241544.02,1498.9
5021.83,293343.09,1241556.12,1498.92
6027.43,293346.62,1241558.51,1498.93
7031.55,293355.41,1241570.67,1498.95
8036.07,293358.8,1241573.12,1498.96
9040.6,293368.26,1241585.41,1498.98
10045.07,293377.49,1241598.58,1499.0
11047.37,293392.9,1245087.41,1502.42
12051.81,293402.26,1245090.76,1502.43
13055.8,293411.5,1245103.26,1502.46
14060.69,293414.07,1245105.09,1502.46
15066.26,293422.27,1245116.76,1502.48
16071.38,293425.54,1245119.14,1502.48
17075.61,293434.52,1245131.36,1502.5
18080.53,293437.82,1245133.74,1502.51
19086.05,293447.11,1245146.03,1502.53
20091.33,293450.28,1245148.42,1502.54
21095.85,293459.27,1245160.57,1502.56
22100.63,293462.55,1245162.88,1502.56
