time,total,idle,mem_total,mem_free,10398/cpu,10398/rss,10938/cpu,10938/rss,4476/cpu,4476/rss,4497/cpu,4497/rss,4508/cpu,4508/rss,4603/cpu,4603/rss,4604/cpu,4604/rss
1003.4,2350946,2330307,16370444,11303508,94,17684,310,55804,665,110840,1869,61620,3501,365536,192,63352,1246,114064
2009.1,2351544,2330893,16370444,11307216,94,17684,310,55868,666,110840,1871,61628,3504,365540,192,63352,1248,114064
3017.04,2352146,2331488,16370444,11307216,94,17688,311,55868,666,110840,1871,61628,3506,365540,193,63352,1249,114064
4020.8,2352744,2332073,16370444,11300924,94,17688,311,55868,666,110840,1873,61636,3510,365540,193,63352,1250,114064
5024.45,2353340,2332659,16370444,11300924,95,17692,311,55872,666,110840,1875,61640,3514,365544,193,63352,1252,114068
6028.47,2353938,2333231,16370444,11297940,95,17692,312,55872,666,110840,1879,61676,3519,365544,193,63352,1253,114068
7033.04,2354536,2333816,16370444,11297940,95,17696,314,55932,666,110840,1881,61768,3522,365548,193,63352,1253,114068
8036.95,2355133,2334399,16370444,11294240,95,17700,314,55936,667,110840,1883,61776,3528,365548,193,63352,1255,114068
9042.66,2355730,2334991,16370444,11294240,95,17700,315,55936,668,110840,1884,61852,3530,365552,193,63352,1255,114068
10047.17,2356330,2335571,16370444,11299888,95,17700,315,55936,668,110840,1885,61908,3532,365552,193,63352,1257,114068
11049.01,2356925,2336048,16370444,11301036,95,17712,318,55984,668,110840,1893,61692,3545,365564,193,63352,1258,114068
12052.33,2357520,2336634,16370444,11293476,96,17716,319,55984,669,110840,1895,61692,3549,365568,193,63352,1258,114068
13057.3,2358120,2337228,16370444,11293872,96,17716,319,55984,669,110840,1896,61692,3551,365568,194,63352,1260,114068
14063.08,2358719,2337816,16370444,11296244,96,17716,319,55984,669,110840,1897,61692,3554,365568,194,63352,1261,114068
15069.56,2359321,2338409,16370444,11296244,96,17716,319,55984,669,110840,1899,61692,3556,365568,194,63352,1262,114068
16073.86,2359919,2338989,16370444,11294744,96,17716,320,55984,669,110840,1902,61688,3560,365572,194,63352,1263,114068
17078.64,2360517,2339576,16370444,11298108,96,17716,320,55984,670,110840,1903,61692,3563,365572,194,63352,1264,114068
18083.29,2361117,2340164,16370444,11290496,96,17716,321,55984,670,110840,1904,61692,3565,365572,194,63352,1265,114068
19088.29,2361716,2340756,16370444,11291652,96,17716,321,55984,670,110840,1905,61736,3567,365572,194,63352,1267,114068
20093.01,2362313,2341342,16370444,11292084,96,17720,321,55984,670,110840,1906,61776,3571,365572,194,63352,1267,114068
21099.12,2362912,2341933,16370444,11291836,96,17720,321,55984,670,110840,1909,63624,3574,365572,194,63352,1268,114068
