time,sent,received,total
4.33,281416.14,1172749.85,1420.08
1005.86,281425.99,1172761.22,1420.1
2012.07,281429.36,1172763.73,1420.11
3018.94,281438.32,1172776.02,1420.13
4025.37,281441.66,1172778.4,1420.14
5030.4,281450.52,1172790.56,1420.16
6035.89,281453.81,1172792.87,1420.16
7040.94,281462.75,1172805.1,1420.18
8045.14,281466.12,1172807.48,1420.19
9049.58,281474.96,1172819.84,1420.21
10054.11,281484.52,1172833.14,1420.23
11057.24,281500.27,1173209.71,1420.61
12062.11,281503.8,1173212.09,1420.62
13066.02,281512.72,1173224.32,1420.64
14070.84,281516.12,1173226.77,1420.65
15074.39,281525.11,1173239.12,1420.67
16080.08,281528.27,1173241.37,1420.67
17083.94,281536.58,1173253.04,1420.69
18088.85,281539.18,1173254.87,1420.7
19094.93,281548.15,1173267.09,1420.72
20097.95,281551.38,1173269.34,1420.72
21106.61,281560.06,1173281.56,1420.74
