time,sent,received,total
2.82,7983.02,3251.17,10.97
1004.15,7983.29,3251.32,10.97
2004.73,7985.19,3253.14,10.97
3005.32,7987.92,3255.79,10.98
4005.91,7989.35,3258.77,10.98
5006.52,7991.77,3260.77,10.99
6007.48,7997.46,3266.32,11.0
7008.63,7997.83,3266.66,11.0
8009.85,7999.73,3268.54,11.0
9011.05,8001.5,3270.56,11.01
10013.13,8003.79,3272.65,11.01
11014.4,8132.1,3334.69,11.2
12014.93,8175.29,3368.51,11.27
13015.45,8204.43,3390.21,11.32
14015.96,8236.5,3414.87,11.38
15016.52,8269.51,3439.57,11.43
16017.25,8324.34,3463.55,11.51
17018.36,8340.08,3471.44,11.53
18019.42,8345.83,3473.92,11.54
19020.5,8346.86,3474.84,11.54
20021.23,8358.6,3481.28,11.56
21022.11,8365.83,3490.88,11.58
22022.76,8395.44,3499.99,11.62
23023.33,8403.17,3506.79,11.63
24023.89,8417.19,3514.03,11.65
25024.52,8432.02,3521.2,11.67
26025.17,8442.95,3525.83,11.69
27025.84,8453.94,3530.55,11.7
