time,total,idle,mem_total,mem_free,3581/cpu,3581/rss,3597/cpu,3597/rss,3614/cpu,3614/rss,3662/cpu,3662/rss,3684/cpu,3684/rss,3689/cpu,3689/rss
1009.79,1112192,1039649,3887864,2039204,1816,108588,5905,86040,15990,322808,59,80048,1289,63604,3357,112660
2011.43,1112593,1040006,3887864,2042156,1817,108588,5909,86040,15997,322808,59,80048,1289,63604,3359,112660
3012.89,1112991,1040401,3887864,2042488,1817,108588,5910,86040,16000,322808,59,80048,1289,63604,3359,112660
4014.5,1113388,1040772,3887864,2034740,1817,108588,5911,86040,16005,322812,59,80048,1289,63604,3360,112660
5016.42,1113786,1041167,3887864,2039024,1817,108588,5912,86040,16006,322812,59,80048,1291,63604,3362,112660
6017.93,1114184,1041521,3887864,2036972,1817,108588,5916,86040,16021,322812,59,80048,1291,63604,3363,112660
7019.43,1114579,1041873,3887864,2031292,1820,108588,5923,86044,16033,322812,59,80048,1291,63604,3365,112660
8020.94,1114979,1042242,3887864,2034912,1820,108588,5925,86044,16038,322812,59,80048,1291,63604,3366,112660
9022.44,1115377,1042638,3887864,2035356,1820,108588,5925,86044,16040,322812,59,80048,1291,63604,3367,112660
10024.5,1115770,1043001,3887864,2038668,1820,108588,5928,86044,16050,322812,59,80048,1291,63604,3368,112660
11026.13,1116162,1043278,3887864,2037016,1820,108588,5939,86044,16116,322848,59,80048,1292,63604,3371,112660
12029.31,1116553,1043617,3887864,2032744,1821,108588,5943,86044,16130,322848,59,80048,1292,63604,3372,112660
13031.69,1116944,1043968,3887864,2035336,1821,108588,5946,86044,16137,322852,59,80048,1293,63668,3374,112660
14033.28,1117345,1044334,3887864,2036160,1821,108588,5948,86044,16143,322852,59,80048,1293,63668,3375,112660
15034.88,1117740,1044698,3887864,2044608,1821,108588,5951,86044,16148,322852,59,80048,1293,63668,3377,112660
16036.5,1118137,1045059,3887864,2044820,1821,108588,5955,86044,16163,322852,59,80048,1293,63668,3378,112660
17039.62,1118530,1045400,3887864,2033944,1822,108588,5961,86044,16173,322856,59,80048,1293,63668,3380,112660
18042.11,1118925,1045778,3887864,2035020,1828,108588,5964,86044,16180,322856,59,80048,1294,63668,3383,112660
19043.8,1119326,1046140,3887864,2043420,1828,107756,5966,86044,16184,322856,59,80048,1294,63668,3384,112660
20045.39,1119725,1046534,3887864,2043420,1828,107756,5967,86044,16188,322856,59,80048,1294,63668,3384,112660
21046.96,1120121,1046902,3887864,2036020,1828,107756,5969,86044,16192,322856,59,80048,1294,63668,3386,112660
22048.55,1120519,1047289,3887864,2036020,1830,107756,5972,86048,16198,322856,60,80048,1294,63668,3386,112660
23050.39,1120914,1047658,3887864,2037644,1830,107756,5974,86048,16205,322860,60,80048,1295,63668,3388,112660
24054.0,1121312,1048048,3887864,2037984,1830,107756,5976,86048,16209,322860,60,80048,1295,63668,3389,112660
25058.61,1121710,1048433,3887864,2038388,1830,107756,5978,86048,16214,322860,60,80048,1296,63668,3392,112660
26060.47,1122110,1048797,3887864,2043240,1830,107756,5981,86048,16219,322860,60,80048,1296,63668,3392,112660
