time,total,idle,mem_total,mem_free,2055/cpu,2055/rss,5581/cpu,5581/rss,6661/cpu,6661/rss
1004.27,1214542,1153753,3887864,1552396,801,87628,657,17264,3252,56188
2005.33,1214946,1154140,3887864,1551684,801,87628,657,17268,3256,56188
3006.35,1215343,1154531,3887864,1551684,801,87628,657,17268,3258,56188
4008.85,1215741,1154927,3887864,1552192,801,87628,657,17268,3258,56188
5011.12,1216141,1155310,3887864,1552444,802,87628,657,17268,3258,56188
6016.96,1216542,1155703,3887864,1552192,802,87628,658,17272,3259,56188
7019.2,1216940,1156088,3887864,1552444,803,87628,658,17272,3260,56188
8021.82,1217332,1156452,3887864,1552444,803,87628,659,17276,3267,56188
9023.52,1217730,1156827,3887864,1551688,803,87628,659,17276,3269,56188
10025.56,1218127,1157200,3887864,1551808,803,87628,660,17276,3269,56188
11026.89,1218523,1157525,3887864,1551136,803,87628,660,17276,3278,56188
12028.23,1218917,1157848,3887864,1550896,803,87628,660,17280,3280,56188
13029.8,1219322,1158172,3887864,1550896,804,87628,660,17280,3280,56188
14031.05,1219720,1158496,3887864,1550896,804,87628,660,17280,3281,56188
15032.97,1220123,1158822,3887864,1550672,804,87628,662,17280,3285,56192
16034.0,1220522,1159175,3887864,1547912,804,87628,662,17284,3289,56192
17035.0,1220922,1159569,3887864,1547912,804,87628,662,17284,3289,56192
18035.98,1221320,1159959,3887864,1547660,804,87628,662,17296,3290,56192
19036.99,1221721,1160352,3887864,1548416,805,87628,662,17304,3290,56192
20039.36,1222121,1160740,3887864,1547912,805,87628,662,17304,3290,56192
21040.54,1222520,1161108,3887864,1545536,806,87628,662,17308,3292,56192
22041.53,1222921,1161502,3887864,1545536,806,87628,663,17312,3292,56192
23042.52,1223318,1161889,3887864,1545676,806,87628,663,17312,3292,56192
24043.65,1223719,1162284,3887864,1546320,806,87628,663,17316,3292,56192
25044.71,1224119,1162679,3887864,1546616,806,87628,663,17324,3293,56192
26047.15,1224520,1163070,3887864,1547168,806,87628,663,17332,3293,56196
27049.49,1224914,1163442,3887864,1546676,807,87628,663,17332,3296,56200
