time,sent,received,total
3.91,19193.63,99075.78,115.5
1005.75,19194.09,99076.41,115.5
2006.88,19196.08,99078.24,115.5
3007.6,19201.54,99083.53,115.51
4008.27,19201.54,99083.59,115.51
5008.94,19204.08,99086.14,115.52
6009.61,19206.98,99094.49,115.53
7010.29,19211.43,99109.68,115.55
8010.95,19213.71,99111.85,115.55
9011.66,19217.74,99115.61,115.56
10012.33,19219.75,99117.66,115.56
11013.16,19317.63,101110.44,117.61
12014.16,19362.52,101156.51,117.69
13015.05,19389.18,101182.75,117.75
14015.9,19399.32,101192.65,117.76
15016.69,19427.3,101220.12,117.82
16017.46,19469.5,101527.16,118.16
17018.3,19520.37,103128.15,119.77
18019.14,19553.62,103160.91,119.84
19019.95,19569.37,103177.16,119.87
20020.78,19598.33,103206.22,119.93
21021.46,19616.34,103267.44,120.0
22022.12,19622.77,103276.23,120.02
23022.79,19625.33,103278.82,120.02
24023.49,19631.56,103295.89,120.05
25024.17,19633.95,103297.94,120.05
26024.83,19636.88,103300.81,120.06
27026.03,19638.69,103302.59,120.06
28027.35,19638.69,103302.65,120.06
29028.77,19643.69,103307.19,120.07
30030.0,19645.64,103309.18,120.07
31031.2,19645.89,103309.58,120.07
32032.52,19649.6,103311.46,120.08
33033.32,19656.38,103316.98,120.09
34033.98,19660.22,103335.53,120.11
