time,sent,received,total
1.79,14050.85,73262.38,85.27
1002.52,14052.79,73264.45,85.27
2003.22,14052.79,73264.51,85.27
3004.51,14056.9,73267.02,85.28
4005.9,14060.76,73270.7,85.28
5007.39,14065.45,73285.87,85.3
6009.15,14070.31,73291.64,85.31
7009.87,14072.38,73293.54,85.32
8010.59,14074.4,73295.64,85.32
9011.35,14074.46,73295.92,85.32
10012.16,14077.27,73298.17,85.33
11012.92,14152.37,73861.59,85.95
12013.64,14188.85,73900.49,86.02
13014.39,14222.62,73934.15,86.09
14015.15,14250.98,73992.93,86.17
15015.82,14255.72,74001.69,86.19
16016.98,14260.42,74003.87,86.2
17018.29,14261.85,74007.96,86.2
18019.12,14263.91,74010.01,86.2
19019.8,14268.16,74014.21,86.21
20020.52,14270.15,74016.21,86.22
21021.21,14275.23,74020.0,86.23
22021.9,14277.3,74021.92,86.23
23023.1,14279.21,74023.75,86.23
24024.57,14279.99,74024.53,86.23
25025.91,14284.05,74043.61,86.26
