time,sent,received,total
3.28,39464.32,19293.15,57.38
1004.47,39468.76,19295.12,57.39
2005.06,39477.19,19297.95,57.4
3005.82,39493.03,19302.63,57.42
4006.47,39497.91,19307.3,57.43
5007.06,39500.12,19309.22,57.43
6008.02,39502.01,19311.09,57.43
7009.41,39547.92,19318.63,57.49
8010.17,39550.19,19320.58,57.49
9010.77,39550.19,19320.64,57.49
10011.42,39552.46,19322.71,57.5
11013.01,39688.36,19389.43,57.69
12013.61,39751.37,19424.32,57.79
13014.29,39798.92,19453.47,57.86
14014.96,39867.35,19480.86,57.96
15015.55,39870.73,19481.43,57.96
16016.2,39873.04,19483.57,57.96
17016.8,39890.82,19491.85,57.99
18017.43,39892.57,19493.7,57.99
19018.23,39896.8,19497.58,58.0
20018.88,39912.35,19501.21,58.02
21019.46,39914.32,19503.21,58.02
22020.05,39916.42,19505.28,58.03
23020.63,39920.59,19507.9,58.04
24021.24,39923.64,19510.95,58.04
