time,total,idle,mem_total,mem_free,3581/cpu,3581/rss,3597/cpu,3597/rss,3614/cpu,3614/rss,3662/cpu,3662/rss,3684/cpu,3684/rss,3689/cpu,3689/rss
1003.8,1624699,1515041,3887864,2017992,2317,107612,9756,94104,27045,323360,79,80048,1639,63748,5371,112940
2005.27,1625099,1515427,3887864,2018056,2317,107612,9759,94104,27052,323360,79,80048,1640,63748,5372,112940
3006.81,1625498,1515792,3887864,2009828,2317,107612,9762,94104,27057,323360,79,80048,1640,63748,5374,112940
4008.36,1625893,1516156,3887864,2003012,2317,107612,9763,94104,27061,323360,79,80048,1640,63748,5375,112940
5010.34,1626290,1516533,3887864,2003328,2318,107612,9766,94132,27066,323360,79,80048,1641,63748,5376,112940
6011.93,1626686,1516911,3887864,2015776,2318,107612,9767,94232,27070,323360,79,80048,1641,63748,5377,112940
7013.42,1627085,1517301,3887864,2016512,2318,107612,9769,94252,27072,323360,79,80048,1641,63748,5378,112940
8014.97,1627479,1517664,3887864,2017872,2319,107612,9774,94416,27078,323360,79,80048,1642,63748,5379,112940
9018.94,1627875,1518051,3887864,2017872,2319,107612,9775,94416,27081,323360,79,80048,1643,63748,5380,112940
10022.48,1628270,1518403,3887864,2008640,2319,107612,9778,94420,27090,323360,79,80048,1643,63748,5383,112940
11025.52,1628656,1518696,3887864,2010620,2320,107612,9788,94456,27131,323368,79,80048,1644,63748,5391,112940
12027.14,1629053,1519031,3887864,2004276,2320,107612,9792,94464,27143,323368,79,80048,1644,63748,5392,112940
13029.76,1629444,1519399,3887864,2005268,2321,107612,9795,94468,27148,323368,79,80048,1644,63748,5393,112940
14031.47,1629841,1519702,3887864,2002604,2321,107612,9799,94476,27193,323368,79,80048,1644,63748,5395,112940
15034.99,1630236,1520079,3887864,2003408,2322,107612,9804,94480,27203,323368,79,80048,1644,63748,5398,112940
16036.89,1630629,1520438,3887864,2000324,2323,107612,9807,94480,27212,323368,79,80048,1644,63748,5400,112940
17038.49,1631027,1520822,3887864,2010096,2323,107612,9808,94480,27217,323372,79,80048,1645,63748,5401,112940
18040.28,1631424,1521213,3887864,2012316,2323,107612,9810,94480,27220,323372,79,80048,1645,63748,5401,112940
19041.94,1631821,1521584,3887864,2020612,2323,107612,9812,94480,27226,323372,79,80048,1645,63748,5402,112944
20043.63,1632220,1521973,3887864,2021228,2324,107612,9814,94480,27230,323372,79,80048,1646,63748,5403,112944
21047.09,1632612,1522340,3887864,2019460,2324,107612,9817,94480,27237,323372,79,80048,1647,63748,5405,112944
22050.44,1633007,1522711,3887864,2019932,2325,107612,9822,94480,27253,323372,79,80048,1647,63748,5408,112944
23052.25,1633404,1523069,3887864,2013060,2325,107612,9826,94480,27262,323372,79,80048,1647,63748,5409,112944
24053.95,1633802,1523445,3887864,2001436,2325,107612,9828,94480,27265,323372,79,80048,1647,63748,5411,112944
25055.59,1634197,1523812,3887864,2014860,2326,107612,9831,94484,27271,323372,79,80048,1647,63748,5412,112944
