time,total,idle,mem_total,mem_free,2055/cpu,2055/rss,5581/cpu,5581/rss,6661/cpu,6661/rss
1008.28,1979011,1877539,3887864,1469080,1265,87652,1137,17572,5658,56388
2010.82,1979410,1877927,3887864,1469080,1265,87652,1137,17572,5660,56388
3011.94,1979808,1878294,3887864,1467880,1265,87652,1137,17576,5660,56388
4012.94,1980208,1878674,3887864,1454888,1265,87652,1137,17576,5660,56388
5014.31,1980609,1879058,3887864,1456712,1265,87652,1139,17576,5663,56388
6015.35,1981009,1879450,3887864,1458136,1265,87652,1139,17588,5664,56388
7016.42,1981409,1879847,3887864,1459792,1265,87652,1139,17588,5664,56388
8018.66,1981807,1880237,3887864,1466636,1266,87652,1139,17588,5665,56388
9021.32,1982206,1880619,3887864,1466808,1266,87652,1139,17596,5665,56388
10023.93,1982604,1881006,3887864,1467060,1266,87652,1140,17600,5668,56388
11025.26,1982995,1881319,3887864,1467312,1267,87652,1140,17600,5685,56388
12026.6,1983394,1881621,3887864,1467560,1267,87652,1141,17600,5688,56392
13027.77,1983795,1881922,3887864,1467060,1267,87652,1141,17600,5689,56392
14028.78,1984189,1882257,3887864,1464672,1267,87652,1141,17600,5692,56396
15029.8,1984590,1882643,3887864,1464432,1267,87652,1141,17600,5695,56428
16031.85,1984988,1883033,3887864,1464444,1267,87652,1141,17600,5695,56428
17034.08,1985388,1883419,3887864,1464696,1269,87652,1141,17600,5696,56428
18036.54,1985788,1883807,3887864,1464696,1269,87652,1142,17600,5696,56428
19039.32,1986184,1884178,3887864,1464444,1269,87652,1142,17600,5697,56428
20042.03,1986581,1884565,3887864,1464820,1269,87652,1142,17604,5698,56428
21044.86,1986981,1884956,3887864,1465108,1270,87652,1142,17604,5699,56428
22047.68,1987379,1885346,3887864,1465576,1270,87652,1143,17604,5700,56428
23048.85,1987775,1885720,3887864,1466060,1271,87652,1143,17604,5700,56428
24049.92,1988171,1886098,3887864,1462120,1271,87652,1143,17604,5700,56428
25051.02,1988568,1886487,3887864,1463580,1271,87652,1143,17604,5702,56428
