time,sent,received,total
1.01,280256.63,1164640.28,1411.03
1002.15,280261.24,1164641.74,1411.04
2005.98,280264.72,1164644.26,1411.04
3008.56,280272.94,1164655.87,1411.06
4012.34,280276.27,1164658.26,1411.07
5017.53,280285.04,1164670.41,1411.09
6022.03,280288.33,1164672.8,1411.09
7026.72,280297.44,1164685.09,1411.12
8030.81,280301.01,1164687.54,1411.12
9035.29,280309.98,1164699.7,1411.14
10039.95,280319.59,1164712.74,1411.16
11042.15,280333.77,1166811.43,1413.23
12046.52,280344.97,1168204.86,1414.6
13050.19,280354.16,1168217.14,1414.62
14054.03,280357.41,1168219.46,1414.62
15057.99,280366.45,1168231.55,1414.65
16060.7,280369.63,1168233.79,1414.65
17065.96,280378.61,1168246.09,1414.67
18069.07,280381.87,1168248.54,1414.68
19073.28,280390.86,1168260.9,1414.7
20078.15,280394.19,1168263.35,1414.7
21082.25,280403.17,1168275.58,1414.72
22087.19,280406.75,1168278.03,1414.73
