time,total,idle,mem_total,mem_free,10398/cpu,10398/rss,10938/cpu,10938/rss,4476/cpu,4476/rss,4497/cpu,4497/rss,4508/cpu,4508/rss,4603/cpu,4603/rss,4604/cpu,4604/rss
1005.41,3867535,3815733,16370444,11093304,371,17920,1102,56204,1454,110596,5881,64432,11419,363776,559,63392,3961,113736
2013.49,3868136,3816317,16370444,11094928,371,17924,1102,56204,1455,110596,5883,64208,11422,363776,559,63392,3962,113736
3018.3,3868736,3816910,16370444,11094928,371,17924,1102,56204,1455,110596,5883,64240,11425,363776,559,63392,3962,113736
4024.04,3869337,3817498,16370444,11096692,371,17924,1102,56204,1455,110596,5885,61308,11427,363776,560,63392,3963,113736
5029.06,3869935,3818084,16370444,11095432,371,17928,1103,56204,1455,110596,5888,63208,11431,363776,560,63392,3965,113736
6036.36,3870536,3818674,16370444,11099684,371,17928,1103,56204,1456,110596,5888,63208,11433,363776,560,63392,3965,113736
7043.78,3871135,3819269,16370444,11099684,371,17928,1103,56204,1456,110596,5889,63208,11435,363776,560,63392,3967,113736
8049.97,3871736,3819857,16370444,11083052,371,17928,1103,56204,1456,110596,5891,63212,11438,363776,560,63392,3967,113736
9055.17,3872335,3820447,16370444,11083052,371,17928,1103,56204,1456,110596,5892,63216,11441,363776,560,63392,3968,113736
10059.1,3872932,3821019,16370444,11080452,371,17932,1105,56012,1457,110596,5896,63260,11448,363776,560,63392,3970,113736
11063.44,3873530,3821496,16370444,11086916,371,17936,1107,56024,1457,110596,5902,61420,11458,363784,560,63392,3972,113740
12066.25,3874124,3822005,16370444,11077456,371,17936,1109,56148,1458,110596,5906,61376,11463,363784,561,63392,3972,113740
13071.16,3874725,3822597,16370444,11077456,371,17936,1109,56152,1458,110596,5907,61392,11467,363784,561,63392,3973,113740
14076.14,3875323,3823181,16370444,11085552,371,17936,1109,56152,1458,110596,5908,61392,11469,363784,561,63392,3974,113740
15082.1,3875922,3823772,16370444,11085312,372,17936,1110,56152,1459,110596,5909,61392,11471,363784,561,63392,3975,113740
16086.91,3876520,3824361,16370444,11091756,372,17936,1110,56152,1459,110596,5909,61404,11473,363784,561,63392,3976,113740
17091.84,3877120,3824954,16370444,11091756,372,17936,1110,56152,1459,110596,5911,61424,11475,363784,562,63392,3977,113740
18096.51,3877718,3825539,16370444,11098200,372,17936,1110,56152,1459,110596,5912,61536,11479,363784,562,63392,3979,113740
19101.48,3878317,3826132,16370444,11097728,373,17944,1110,56152,1459,110596,5913,61536,11481,363784,562,63392,3979,113740
20106.06,3878915,3826714,16370444,11099492,373,17944,1110,56152,1459,110596,5916,61572,11485,363784,562,63392,3981,113740
21110.4,3879515,3827304,16370444,11099492,373,17944,1110,56152,1460,110596,5917,61596,11488,363784,562,63392,3982,113740
22115.73,3880112,3827886,16370444,11098104,373,17944,1110,56152,1460,110596,5919,61596,11490,363784,563,63392,3982,113740
