time,total,idle,mem_total,mem_free,10398/cpu,10398/rss,10938/cpu,10938/rss,4476/cpu,4476/rss,4497/cpu,4497/rss,4508/cpu,4508/rss,4603/cpu,4603/rss,4604/cpu,4604/rss
1003.78,2388045,2366493,16370444,11297568,101,17732,337,55908,683,110840,1982,65644,3715,366060,200,63352,1313,114080
2007.55,2388642,2367083,16370444,11296812,101,17732,337,55908,683,110840,1983,65644,3718,366060,201,63352,1313,114080
3011.19,2389239,2367662,16370444,11294544,101,17732,338,55224,684,110840,1985,65644,3722,366060,201,63352,1315,114084
4015.77,2389840,2368244,16370444,11294372,101,17732,339,55224,685,110840,1989,65644,3726,366064,201,63352,1316,114084
5020.37,2390438,2368823,16370444,11290980,102,17732,340,55232,685,110840,1992,65644,3732,366068,201,63352,1317,114084
6024.07,2391038,2369409,16370444,11293784,102,17736,340,55236,685,110840,1994,65644,3736,366068,201,63352,1318,114084
7028.97,2391637,2369997,16370444,11293768,102,17736,340,55236,686,110840,1994,65644,3738,366068,201,63352,1319,114084
8032.82,2392237,2370589,16370444,11293616,102,17736,340,55236,686,110840,1994,65644,3740,366068,201,63352,1320,114084
9039.68,2392835,2371178,16370444,11299748,102,17736,340,55236,686,110840,1996,65644,3742,366068,201,63352,1322,114084
10045.19,2393433,2371766,16370444,11288412,102,17736,341,55236,686,110840,1997,65644,3744,366068,201,63352,1322,114084
11047.74,2394028,2372288,16370444,11286064,102,17736,344,55256,687,110840,2004,61628,3755,366084,201,63352,1324,114084
12050.53,2394626,2372879,16370444,11287704,102,17736,345,55256,688,110840,2005,61628,3759,366088,202,63352,1325,114084
13054.18,2395223,2373465,16370444,11295464,102,17736,345,55256,688,110840,2007,61628,3761,366092,202,63352,1325,114084
14058.39,2395819,2374051,16370444,11295324,102,17736,345,55256,688,110840,2009,61628,3765,366092,202,63352,1326,114084
15063.07,2396418,2374629,16370444,11296136,102,17736,345,55256,688,110840,2011,61628,3775,366096,202,63352,1327,114084
16067.57,2397016,2375217,16370444,11299796,102,17736,346,55256,688,110840,2012,61628,3778,366096,203,63352,1328,114084
17072.82,2397614,2375804,16370444,11299796,102,17736,346,55256,689,110840,2014,61628,3781,366096,203,63352,1330,114084
18078.12,2398213,2376396,16370444,11299572,102,17736,346,55256,689,110840,2015,61628,3784,366096,203,63352,1330,114084
19083.21,2398813,2376981,16370444,11299068,102,17736,346,55256,689,110840,2017,61620,3787,366100,203,63352,1332,114084
20089.53,2399413,2377571,16370444,11298828,102,17736,349,55256,689,110840,2019,61632,3791,366104,203,63352,1332,114084
21094.2,2400012,2378160,16370444,11294480,103,17736,349,55256,689,110840,2020,61632,3793,366104,203,63352,1334,114084
