time,sent,received,total
1.73,290882.96,1225109.57,1480.46
1003.21,290887.58,1225111.17,1480.47
2008.16,290895.45,1225122.5,1480.49
3010.75,290899.64,1225125.83,1480.49
4013.65,290902.69,1225127.94,1480.5
5018.2,290911.71,1225140.17,1480.52
6022.14,290915.19,1225142.55,1480.52
7024.73,290924.34,1225154.78,1480.55
8030.06,290927.54,1225157.09,1480.55
9033.3,290936.44,1225169.18,1480.57
10038.17,290945.72,1225182.23,1480.59
11039.65,290958.44,1225926.16,1481.33
12042.99,290961.52,1225928.47,1481.34
13048.16,290970.89,1225941.08,1481.36
14051.3,290974.21,1225943.47,1481.36
15055.52,290982.83,1225955.61,1481.38
16064.42,290993.67,1225960.08,1481.4
17065.35,291001.05,1225971.04,1481.42
18067.96,291003.13,1225972.73,1481.42
19072.8,291012.1,1225985.02,1481.44
20077.38,291015.35,1225987.27,1481.45
21081.82,291024.65,1225999.82,1481.47
22087.02,291027.9,1226002.32,1481.47
23092.28,291037.28,1226014.55,1481.5
24097.73,291040.51,1226016.8,1481.5
25102.41,291049.47,1226029.29,1481.52
26108.51,291052.81,1226031.74,1481.53
