time,total,idle,mem_total,mem_free,1655/cpu,1655/rss
1006.33,761025,735413,3887864,2136012,5620,179556
2007.69,761422,735798,3887864,2135632,5623,180204
3009.15,761821,736194,3887864,2135892,5625,180204
4010.42,762219,736581,3887864,2136372,5628,180204
5011.87,762620,736977,3887864,2136840,5631,180204
6013.66,763019,737372,3887864,2136536,5633,180204
7015.17,763415,737750,3887864,2136032,5641,180204
8016.52,763813,738144,3887864,2135988,5645,180204
9017.24,764210,738513,3887864,2138204,5647,180204
10017.89,764610,738912,3887864,2140604,5648,180204
11018.58,765010,739286,3887864,2140128,5650,180204
12019.22,765414,739633,3887864,2140380,5651,180204
13019.86,765818,739978,3887864,2139176,5652,180204
14020.51,766220,740320,3887864,2139428,5657,180204
15021.15,766624,740668,3887864,2139932,5657,180204
16021.79,767024,741049,3887864,2137916,5658,180204
17022.44,767423,741440,3887864,2137160,5663,180852
18023.07,767823,741838,3887864,2137160,5664,180852
19024.15,768222,742215,3887864,2131560,5665,180852
20025.59,768622,742610,3887864,2131560,5668,180852
21027.34,769022,743007,3887864,2131560,5670,180852
22028.82,769420,743402,3887864,2132448,5673,180852
23030.39,769819,743796,3887864,2132940,5674,180852
24031.39,770216,744185,3887864,2133172,5678,180852
25032.87,770615,744578,3887864,2133948,5680,180852
26034.32,771012,744962,3887864,2133732,5682,180852
27035.07,771410,745336,3887864,2134792,5701,180276
28035.69,771810,745734,3887864,2135644,5702,180276
29036.37,772210,746112,3887864,2138144,5704,180276
30037.0,772609,746510,3887864,2137988,5705,180276
31037.62,773010,746909,3887864,2137540,5706,180276
32039.08,773410,747304,3887864,2137540,5707,180276
