time,total,idle,mem_total,mem_free,1762/cpu,1762/rss,6171/cpu,6171/rss,7479/cpu,7479/rss
1006.98,1466217,1305583,3887864,440572,60396,689148,4354,56232,704,17576
2010.08,1466609,1305952,3887864,440324,60419,689148,4357,56232,705,17580
3012.68,1467005,1306332,3887864,440324,60431,689148,4357,56232,705,17580
4014.31,1467394,1306667,3887864,440492,60469,689148,4364,56232,707,17636
5016.3,1467790,1307039,3887864,440420,60487,689148,4366,56232,707,17640
6017.41,1468186,1307292,3887864,442396,60590,688636,4371,56236,708,17640
7018.42,1468581,1307664,3887864,442648,60607,686680,4373,56236,709,17644
8019.43,1468978,1308057,3887864,442520,60612,686680,4373,56236,709,17644
9020.41,1469374,1308448,3887864,442828,60617,686680,4373,56236,709,17648
10022.57,1469774,1308839,3887864,441880,60622,686680,4373,56236,709,17648
11027.31,1470159,1309012,3887864,445052,60690,686496,4387,56236,709,17648
12030.6,1470549,1309234,3887864,445052,60713,686576,4389,56236,709,17648
13034.21,1470941,1309474,3887864,443860,60720,686576,4389,56236,709,17648
14036.44,1471326,1309698,3887864,443496,60738,686584,4390,56236,709,17648
15037.62,1471718,1309936,3887864,443496,60747,686632,4390,56236,710,17656
16041.53,1472111,1310139,3887864,433356,60766,686680,4393,56236,710,17656
17043.98,1472499,1310362,3887864,432552,60781,686684,4394,56236,710,17656
18046.13,1472889,1310598,3887864,432660,60793,686692,4394,56236,710,17656
19048.9,1473286,1310831,3887864,433272,60803,686688,4394,56236,710,17656
20051.88,1473687,1311063,3887864,433540,60815,686688,4396,56236,710,17660
21055.36,1474075,1311297,3887864,433060,60827,686688,4397,56236,710,17668
22056.53,1474472,1311621,3887864,433220,60859,686692,4401,56236,710,17668
23057.62,1474871,1312006,3887864,433472,60865,686692,4402,56236,710,17668
24058.71,1475271,1312398,3887864,433472,60870,686692,4402,56236,710,17668
25059.77,1475668,1312789,3887864,433764,60876,686692,4402,56236,710,17672
26061.65,1476063,1313162,3887864,432324,60887,686692,4402,56236,712,17672
27062.93,1476457,1313531,3887864,432056,60893,686692,4402,56236,712,17672
28064.07,1476857,1313923,3887864,432452,60899,686692,4402,56236,712,17676
29065.22,1477255,1314311,3887864,432068,60905,686692,4404,56236,712,17680
30066.38,1477651,1314701,3887864,432068,60910,686692,4404,56236,712,17680
31067.52,1478051,1315081,3887864,430556,60923,688364,4405,56236,712,17684
32070.26,1478439,1315434,3887864,430760,60952,688364,4408,56236,712,17684
