time,total,idle,mem_total,mem_free,1655/cpu,1655/rss
1003.01,1255000,1214035,3887864,2083816,8873,180984
2003.8,1255399,1214433,3887864,2083816,8874,180988
3004.69,1255799,1214831,3887864,2083816,8875,180988
4008.26,1256197,1215221,3887864,2083864,8883,180988
5009.57,1256595,1215599,3887864,2083612,8887,180988
6011.05,1256993,1215993,3887864,2083704,8891,180988
7012.53,1257391,1216379,3887864,2083984,8896,180988
8014.1,1257790,1216774,3887864,2084516,8898,180988
9016.09,1258187,1217160,3887864,2082988,8901,180988
10016.92,1258585,1217531,3887864,2077956,8903,180988
11017.74,1258984,1217901,3887864,2078408,8904,180988
12018.46,1259386,1218249,3887864,2078920,8906,180988
13019.25,1259785,1218599,3887864,2078324,8907,180988
14022.33,1260186,1218942,3887864,2078560,8910,180988
15022.98,1260586,1219286,3887864,2078996,8912,180988
16023.61,1260989,1219663,3887864,2078744,8913,180988
17024.24,1261390,1220058,3887864,2078096,8914,180988
18024.9,1261788,1220456,3887864,2078272,8915,180988
19025.56,1262189,1220853,3887864,2079032,8915,180988
20026.22,1262586,1221219,3887864,2076936,8918,180988
21026.85,1262985,1221617,3887864,2076936,8920,180988
22027.49,1263385,1222012,3887864,2076924,8923,180988
23028.16,1263784,1222410,3887864,2077084,8923,180988
24028.82,1264185,1222803,3887864,2077088,8926,180988
25030.11,1264582,1223196,3887864,2077240,8928,180988
26031.67,1264982,1223592,3887864,2077968,8931,180988
27033.21,1265381,1223984,3887864,2079048,8934,180988
