time,total,idle,mem_total,mem_free,1762/cpu,1762/rss,6171/cpu,6171/rss,7479/cpu,7479/rss
1004.01,1383597,1231024,3887864,432336,57318,704152,4115,56364,656,17700
2005.1,1383994,1231410,3887864,432088,57328,704152,4115,56364,656,17704
3006.2,1384390,1231800,3887864,432472,57333,704192,4116,56364,656,17712
4007.32,1384785,1232180,3887864,432220,57344,704192,4116,56372,656,17716
5009.49,1385183,1232554,3887864,432336,57360,704192,4119,56372,657,17716
6012.14,1385578,1232920,3887864,432588,57374,704192,4119,56372,657,17716
7014.86,1385971,1233296,3887864,432348,57389,704356,4120,56372,657,17716
8017.13,1386368,1233676,3887864,431592,57403,705356,4120,56372,657,17716
9018.27,1386760,1234040,3887864,431340,57420,705356,4120,56372,657,17716
10020.24,1387157,1234412,3887864,423128,57427,705360,4120,56372,657,17716
11023.33,1387537,1234592,3887864,412780,57499,703524,4134,56376,657,17724
12027.35,1387928,1234822,3887864,413876,57517,703524,4136,56376,657,17724
13035.43,1388320,1235050,3887864,416508,57533,703524,4137,56376,658,17724
14038.55,1388712,1235281,3887864,416596,57551,703548,4138,56376,658,17732
15040.92,1389106,1235561,3887864,418400,57563,703548,4138,56376,658,17732
16043.03,1389495,1235834,3887864,420612,57579,703696,4140,56376,658,17736
17044.19,1389893,1236157,3887864,420816,57601,703732,4145,56376,659,17736
18045.36,1390289,1236547,3887864,422884,57607,703732,4145,56376,659,17736
19047.49,1390687,1236927,3887864,424092,57619,703748,4146,56376,659,17736
20051.63,1391080,1237275,3887864,416408,57640,703808,4148,56376,659,17748
21052.83,1391481,1237662,3887864,432008,57648,703808,4149,56376,659,17748
22053.97,1391880,1238050,3887864,432008,57654,703808,4149,56376,659,17752
23055.18,1392273,1238431,3887864,431016,57663,703812,4149,56376,660,17752
24056.35,1392675,1238808,3887864,431064,57678,703868,4151,56376,660,17768
25059.33,1393073,1239197,3887864,430824,57685,703956,4151,56376,660,17768
26061.86,1393471,1239564,3887864,430824,57701,703940,4152,56376,661,17768
27064.17,1393865,1239938,3887864,431076,57717,703952,4153,56376,662,17768
