time,total,idle,mem_total,mem_free,1687/cpu,1687/rss,6122/cpu,6122/rss,6227/cpu,6227/rss
1009.23,477929,448205,3887864,1536712,391,87524,467,20268,1464,53452
2011.42,478326,448588,3887864,1537568,391,87524,467,20268,1465,53452
3014.4,478724,448962,3887864,1538840,392,87524,468,20268,1465,53452
4015.47,479123,449351,3887864,1538704,392,87524,468,20268,1466,53452
5016.5,479520,449723,3887864,1539108,392,87524,468,20268,1467,53452
6020.93,479920,450113,3887864,1539108,393,87524,468,20268,1467,53452
7021.89,480317,450507,3887864,1540560,393,87524,468,20268,1467,53452
8022.87,480717,450901,3887864,1540464,393,87524,469,20268,1468,53452
9025.24,481116,451274,3887864,1540468,393,87524,469,20268,1469,53452
10027.73,481518,451663,3887864,1540232,393,87524,469,20268,1470,53452
11029.45,481903,451981,3887864,1539508,393,87524,469,20268,1489,53460
12030.53,482291,452290,3887864,1533916,393,87524,469,20268,1491,53460
13031.75,482684,452600,3887864,1534184,395,87532,470,20268,1491,53460
14033.24,483075,452915,3887864,1534992,396,87532,470,20268,1491,53460
15034.51,483471,453193,3887864,1536648,396,87532,470,20268,1491,53460
16036.96,483870,453503,3887864,1534732,396,87532,470,20268,1497,53472
17039.49,484269,453887,3887864,1535240,396,87532,471,20268,1499,53472
18041.43,484667,454256,3887864,1535280,396,87532,471,20276,1500,53472
19043.84,485065,454642,3887864,1535788,397,87532,472,20276,1500,53472
20046.2,485463,455032,3887864,1535852,398,87532,472,20284,1501,53472
21048.76,485862,455420,3887864,1535852,398,87532,472,20284,1502,53472
22050.96,486261,455810,3887864,1536536,398,87532,473,20288,1503,53472
23053.42,486658,456199,3887864,1537296,398,87532,473,20292,1504,53472
24055.85,487055,456581,3887864,1537080,398,87532,474,20296,1505,53472
25057.11,487448,456938,3887864,1535684,398,87532,474,20304,1507,53472
26058.1,487846,457323,3887864,1535672,398,87532,474,20304,1507,53472
27059.07,488245,457716,3887864,1535296,398,87532,474,20304,1507,53472
