time,sent,received,total
2.15,18505.29,7908.39,25.79
1002.97,18507.7,7910.51,25.8
2003.55,18544.84,7918.43,25.84
3004.16,18560.11,7922.23,25.86
4004.74,18576.4,7928.16,25.88
5005.39,18582.26,7931.7,25.89
6006.29,18591.57,7935.11,25.9
7007.02,18598.34,7936.05,25.91
8007.57,18605.49,7937.1,25.92
9008.18,18607.57,7939.13,25.92
10008.81,18608.02,7939.43,25.92
11009.51,18727.05,7981.56,26.08
12010.22,18770.75,8010.95,26.15
13011.88,18798.72,8032.62,26.2
14013.94,18832.22,8057.42,26.26
15014.51,18869.3,8086.03,26.32
16015.16,18944.42,8116.24,26.43
17015.82,18952.08,8119.36,26.44
18016.44,18954.25,8121.35,26.44
19017.4,18956.3,8123.3,26.44
20018.13,18958.27,8125.26,26.45
21018.73,18960.59,8127.17,26.45
22019.43,18962.66,8130.59,26.46
23020.05,18963.11,8130.8,26.46
24020.66,18965.41,8133.74,26.46
25021.56,18966.23,8133.95,26.46
26022.26,18968.77,8136.3,26.47
