time,total,idle,mem_total,mem_free,1818/cpu,1818/rss,1845/cpu,1845/rss,1863/cpu,1863/rss,1902/cpu,1902/rss,1932/cpu,1932/rss,1933/cpu,1933/rss
1006.42,530394,490976,3887864,2124752,2825,111324,4453,73388,12212,326800,53,79192,536,63408,2514,113112
2007.92,530791,491352,3887864,2124276,2826,111324,4458,73404,12226,326800,53,79192,536,63408,2516,113112
3009.43,531191,491718,3887864,2126908,2826,111324,4460,73428,12234,326800,53,79192,536,63408,2517,113112
4013.77,531585,492097,3887864,2127268,2826,111324,4464,73432,12243,326800,53,79192,536,63408,2518,113112
5015.66,531987,492461,3887864,2130752,2826,111324,4466,73440,12248,326800,53,79192,536,63408,2520,113112
6019.12,532385,492820,3887864,2133780,2827,111324,4473,73444,12262,326808,53,79192,538,63408,2523,113112
7020.83,532783,493178,3887864,2133632,2828,111324,4476,73452,12271,326808,53,79192,538,63408,2525,113112
8022.39,533181,493568,3887864,2133384,2828,111324,4478,73456,12275,326808,53,79192,538,63408,2526,113112
9023.97,533579,493933,3887864,2128580,2828,111324,4479,73456,12282,326808,53,79192,538,63408,2533,113116
10027.44,533980,494322,3887864,2128920,2829,111324,4481,73456,12284,326808,53,79192,539,63408,2534,113116
11029.98,534371,494599,3887864,2121668,2829,111324,4490,73464,12347,326816,53,79192,539,63408,2536,113116
12038.23,534767,494931,3887864,2133520,2829,111324,4494,73464,12359,326816,53,79192,539,63408,2538,113116
13041.21,535165,495291,3887864,2135416,2829,111324,4495,73464,12363,326816,53,79192,540,63408,2540,113116
14043.56,535561,495615,3887864,2136936,2830,111324,4501,73464,12372,326816,54,79192,540,63408,2541,113116
15045.21,535955,495981,3887864,2136936,2830,111324,4502,73464,12376,326816,54,79192,540,63408,2543,113116
16046.88,536351,496292,3887864,2128228,2831,111324,4509,73464,12397,326820,54,79192,540,63408,2545,113116
17048.56,536748,496682,3887864,2129248,2831,111324,4510,73464,12401,326824,54,79192,540,63408,2545,113116
18050.26,537147,497054,3887864,2117792,2831,111324,4512,73464,12406,326824,54,79192,541,63408,2547,113116
19054.35,537540,497439,3887864,2119796,2832,111324,4515,73464,12411,326824,54,79192,541,63408,2548,113116
20056.21,537940,497796,3887864,2117196,2832,111324,4519,73468,12420,326824,54,79192,542,63408,2551,113116
21057.88,538337,498187,3887864,2118112,2833,111324,4520,73468,12424,326824,54,79192,542,63408,2552,113116
22059.77,538735,498566,3887864,2110904,2834,111324,4524,73468,12431,326828,54,79192,542,63412,2552,113116
23061.44,539134,498948,3887864,2117944,2834,111324,4526,73468,12433,326828,54,79192,542,63412,2553,113116
24063.23,539536,499333,3887864,2120800,2834,111324,4531,73468,12439,326828,54,79192,542,63412,2555,113116
25066.8,539934,499707,3887864,2129152,2834,111324,4532,73468,12442,326828,54,79192,542,63412,2555,113116
26068.68,540329,500065,3887864,2132044,2835,111324,4536,73468,12451,326832,54,79192,542,63412,2558,113116
