time,sent,received,total
1.84,8517.11,65187.43,71.98
1003.39,8519.19,65189.69,71.98
2005.05,8527.91,65225.84,72.02
3006.25,8532.18,65240.67,72.04
4009.15,8538.78,65256.35,72.07
5010.63,8542.62,65260.2,72.07
6011.98,8546.21,65269.23,72.08
7013.21,8547.23,65275.78,72.09
8014.0,8548.38,65282.74,72.1
9014.71,8550.66,65284.7,72.1
10015.37,8550.89,65285.06,72.1
11019.19,8621.19,67198.65,74.04
12019.94,8654.21,67236.6,74.11
13020.72,8678.36,67260.43,74.16
14021.54,8706.73,67288.54,74.21
15022.47,8738.76,67320.41,74.28
16023.27,8799.04,69190.91,76.16
17023.93,8802.3,69198.35,76.17
18024.98,8804.63,69200.36,76.18
19025.76,8806.79,69202.27,76.18
20026.42,8808.7,69204.09,76.18
21027.13,8810.64,69206.31,76.19
22027.82,8814.23,69208.22,76.19
23028.49,8814.29,69208.49,76.19
24029.8,8817.27,69210.74,76.2
25031.3,8817.4,69211.47,76.2
26032.14,8819.98,69213.65,76.2
27032.84,8828.5,69234.75,76.23
