time,total,idle,mem_total,mem_free,1818/cpu,1818/rss,1845/cpu,1845/rss,1863/cpu,1863/rss,1902/cpu,1902/rss,1932/cpu,1932/rss,1933/cpu,1933/rss
1003.98,629810,583119,3887864,2113224,2920,111392,5194,74808,14279,328052,56,79192,610,63424,2904,113236
2005.43,630208,583513,3887864,2114256,2921,111392,5195,74808,14282,328052,56,79192,610,63424,2905,113236
3006.92,630605,583880,3887864,2118948,2921,111392,5198,74808,14288,328052,56,79192,610,63492,2906,113236
4011.43,631000,584265,3887864,2119900,2921,111392,5202,74808,14294,328052,56,79192,610,63492,2908,113236
5014.29,631396,584625,3887864,2114748,2922,111392,5205,74808,14304,328052,56,79192,610,63492,2910,113236
6015.91,631794,585006,3887864,2121704,2922,111392,5208,74808,14309,328052,56,79192,610,63492,2910,113236
7017.45,632191,585398,3887864,2126568,2923,111392,5209,74808,14313,328052,56,79192,611,63492,2912,113236
8019.02,632589,585770,3887864,2133396,2923,111392,5212,74808,14317,328052,56,79192,611,63492,2913,113236
9020.56,632988,586162,3887864,2133624,2923,111392,5214,74812,14320,328052,57,79192,611,63492,2914,113236
10024.81,633387,586533,3887864,2113504,2923,111392,5215,74812,14324,328052,57,79192,611,63492,2914,113236
11026.56,633782,586763,3887864,2120388,2924,111392,5226,74816,14405,328072,57,79192,611,63492,2917,113236
12029.28,634177,587104,3887864,2110560,2924,111392,5229,74816,14414,328076,57,79192,612,63492,2919,113236
13031.03,634570,587468,3887864,2110560,2925,111392,5230,74816,14417,328076,57,79192,613,63492,2921,113236
14032.62,634961,587795,3887864,2105380,2925,111392,5236,74816,14436,328080,58,79192,613,63492,2922,113236
15034.21,635361,588186,3887864,2105784,2925,111392,5238,74868,14441,328080,58,79192,613,63492,2923,113236
16035.78,635754,588535,3887864,2111240,2926,111392,5249,74936,14450,328080,58,79192,613,63492,2925,113236
17037.29,636149,588926,3887864,2112292,2927,111392,5251,74936,14454,328080,58,79192,614,63492,2927,113236
18039.3,636549,589311,3887864,2111840,2927,111392,5252,74936,14458,328080,58,79192,614,63492,2927,113236
19040.91,636947,589689,3887864,2122592,2927,111392,5255,74936,14462,328080,58,79192,614,63492,2928,113236
20042.51,637348,590084,3887864,2123500,2927,111392,5256,74936,14465,328080,58,79192,614,63492,2929,113236
21044.13,637744,590423,3887864,2126360,2928,111392,5259,74940,14474,328080,58,79192,614,63492,2930,113236
22045.71,638144,590816,3887864,2126476,2928,111392,5260,74940,14478,328080,58,79192,614,63492,2931,113236
23047.36,638540,591184,3887864,2127320,2928,111392,5262,74940,14482,328080,58,79192,615,63492,2932,113236
24048.95,638939,591576,3887864,2132764,2928,111392,5264,74940,14486,328080,58,79192,615,63492,2934,113236
