time,total,idle,mem_total,mem_free,1687/cpu,1687/rss,6122/cpu,6122/rss,6227/cpu,6227/rss
1007.36,605821,568664,3887864,1460080,461,87448,599,20620,1947,53500
2009.86,606222,569052,3887864,1460892,461,87448,600,20620,1948,53504
3012.36,606618,569426,3887864,1461056,461,87448,600,20620,1950,53504
4016.27,607016,569811,3887864,1461436,461,87448,600,20620,1950,53504
5017.59,607411,570179,3887864,1460232,461,87448,600,20620,1951,53504
6018.7,607808,570570,3887864,1460296,461,87448,600,20620,1951,53504
7019.76,608208,570967,3887864,1460044,461,87448,601,20620,1952,53504
8020.75,608605,571361,3887864,1460044,461,87448,601,20620,1952,53504
9021.72,609005,571759,3887864,1460548,461,87448,601,20620,1952,53504
10023.64,609401,572133,3887864,1457456,462,87448,601,20620,1953,53504
11025.03,609787,572441,3887864,1456484,462,87448,602,20620,1965,53508
12026.4,610182,572743,3887864,1455736,462,87448,602,20620,1967,53508
13027.76,610572,573040,3887864,1455736,462,87448,603,20620,1969,53508
14029.55,610962,573381,3887864,1456728,463,87448,603,20620,1975,53520
15030.76,611362,573769,3887864,1456476,463,87448,604,20620,1976,53524
16032.97,611759,574143,3887864,1456500,463,87448,605,20620,1978,53524
17036.39,612155,574508,3887864,1457608,463,87448,609,20620,1988,53524
18038.85,612547,574876,3887864,1457948,463,87448,611,20620,1996,53524
19041.86,612943,575263,3887864,1458388,464,87448,612,20620,1998,53524
20043.18,613336,575629,3887864,1459012,464,87448,613,20620,2001,53524
21044.23,613734,576021,3887864,1458524,464,87448,613,20620,2001,53524
22045.36,614134,576411,3887864,1459608,465,87448,613,20620,2002,53524
23046.44,614532,576792,3887864,1459356,465,87448,613,20620,2003,53524
24047.57,614929,577182,3887864,1459476,465,87448,613,20620,2003,53524
25049.41,615326,577552,3887864,1459740,465,87448,613,20620,2004,53524
