time,sent,received,total
1.28,24565.22,10744.1,34.48
1001.92,24573.63,10746.13,34.49
2002.58,24580.5,10747.04,34.5
3003.61,24582.5,10748.87,34.5
4005.08,24582.92,10749.08,34.5
5005.81,24584.87,10753.02,34.51
6006.45,24588.77,10755.21,34.51
7007.04,24592.09,10757.6,34.52
8007.64,24594.17,10760.85,34.53
9008.23,24598.26,10764.64,34.53
10008.87,24602.09,10768.43,34.54
11009.49,24767.01,10820.49,34.75
12010.1,24777.72,10825.92,34.77
13010.73,24779.75,10827.92,34.77
14011.33,24782.82,10831.18,34.78
15012.65,24784.96,10833.52,34.78
16013.26,24786.56,10836.29,34.79
17013.85,24787.28,10836.46,34.79
18014.46,24789.24,10838.46,34.79
19015.06,24789.55,10838.65,34.79
20016.44,24792.08,10842.33,34.8
21017.42,24796.68,10845.12,34.81
