time,sent,received,total
1.69,12256.88,91756.48,101.58
1002.45,12260.96,91760.16,101.58
2003.49,12262.99,91762.32,101.59
3004.81,12267.8,91765.83,101.59
4006.23,12269.88,91767.93,101.6
5007.66,12273.43,91770.68,101.61
6009.06,12275.54,91772.76,101.61
7010.59,12277.44,91774.88,101.61
8011.45,12282.74,91778.36,101.62
9012.13,12282.74,91778.42,101.62
10012.77,12282.87,91778.84,101.62
11014.62,12359.53,92328.23,102.23
12016.76,12392.48,92366.01,102.3
13017.46,12416.06,92389.74,102.35
14018.18,12465.99,92874.46,102.87
15018.85,12469.08,92879.99,102.88
16019.5,12474.4,92883.98,102.89
17020.21,12476.46,92885.97,102.89
18021.4,12480.43,92889.76,102.9
19022.27,12482.37,92892.11,102.9
20022.91,12484.89,92895.39,102.91
21023.6,12486.92,92897.51,102.91
22024.28,12489.33,92900.41,102.92
23024.96,12491.59,92902.59,102.92
24026.21,12492.0,92902.79,102.92
25027.34,12496.96,92922.29,102.95
