time,sent,received,total
3.31,3994.84,14974.96,18.52
1004.11,3995.29,14975.35,18.53
2022.33,3996.9,14977.17,18.53
3023.11,3996.9,14977.22,18.53
4023.78,3996.97,14977.49,18.53
5024.44,3997.03,14977.78,18.53
6025.39,3997.03,14977.78,18.53
7026.85,3997.81,14978.57,18.53
8027.94,3997.81,14978.63,18.53
9029.07,4000.17,14981.82,18.54
10030.26,4000.4,14982.16,18.54
11031.19,4017.88,15040.31,18.61
12031.93,4053.52,15069.89,18.67
13032.54,4067.35,15108.34,18.73
14033.14,4067.42,15108.65,18.73
15033.72,4067.85,15108.96,18.73
16034.4,4068.15,15109.24,18.73
17035.51,4069.58,15110.69,18.73
18036.53,4070.3,15111.64,18.73
19037.61,4070.3,15111.64,18.73
20038.86,4070.67,15111.93,18.73
21039.62,4070.67,15111.98,18.73
22040.23,4070.67,15112.1,18.73
23040.84,4071.02,15112.37,18.73
24041.5,4076.15,15150.36,18.78
