time,total,idle,mem_total,mem_free,1230/cpu,1230/rss,1257/cpu,1257/rss,1283/cpu,1283/rss,1316/cpu,1316/rss,1317/cpu,1317/rss,979/cpu,979/rss
1003.94,558976,526094,3887864,1840192,4971,219908,13471,515668,57,79364,1032,65452,3206,119288,2122,114096
2008.01,559374,526483,3887864,1840404,4974,219908,13477,515668,57,79364,1033,65452,3207,119288,2122,114096
3011.7,559770,526861,3887864,1840636,4979,219908,13486,515668,57,79364,1033,65452,3209,119288,2124,114096
4015.72,560165,527239,3887864,1840888,4985,219908,13494,515668,57,79364,1033,65452,3212,119288,2124,114096
5019.65,560560,527622,3887864,1841200,4987,219908,13497,515668,57,79364,1033,65452,3214,119288,2125,114096
6023.89,560959,528006,3887864,1841200,4991,219908,13504,515668,57,79364,1035,65452,3217,119288,2125,114096
7028.03,561353,528386,3887864,1841200,4995,219908,13512,515668,57,79364,1035,65452,3219,119288,2126,114096
8029.82,561749,528753,3887864,1840776,4995,219908,13516,515668,58,79364,1035,65452,3221,119288,2126,114096
9031.42,562146,529148,3887864,1840776,4997,219908,13517,515668,58,79364,1035,65452,3221,119288,2126,114096
10033.78,562544,529534,3887864,1839384,4998,219908,13522,515668,58,79364,1036,65452,3223,119288,2127,114096
11035.63,562934,529824,3887864,1832964,5008,219916,13546,515676,58,79364,1036,65468,3228,119292,2127,114100
12037.31,563331,530207,3887864,1833092,5011,219916,13552,515676,58,79364,1037,65472,3230,119292,2128,114100
13040.07,563720,530560,3887864,1833332,5017,219916,13563,515676,58,79364,1037,65472,3231,119292,2129,114100
14042.21,564113,530907,3887864,1834408,5023,219920,13577,515676,58,79364,1038,65476,3237,119300,2130,114100
15043.82,564513,531303,3887864,1834636,5023,219920,13578,515676,58,79364,1038,65476,3238,119300,2130,114100
16045.51,564912,531698,3887864,1835464,5024,219920,13581,515676,58,79364,1038,65476,3239,119300,2130,114100
17047.15,565309,532087,3887864,1836440,5026,219920,13585,515676,58,79364,1039,65476,3241,119300,2130,114100
18051.02,565709,532462,3887864,1838512,5028,219920,13588,515676,58,79364,1039,65476,3242,119300,2130,114100
19054.85,566110,532855,3887864,1838924,5030,219920,13591,515676,58,79364,1039,65476,3243,119300,2130,114100
20060.07,566507,533236,3887864,1839284,5033,219920,13601,515676,58,79364,1040,65476,3247,119300,2132,114100
21064.7,566903,533622,3887864,1839284,5035,219920,13605,515676,58,79364,1040,65476,3249,119300,2132,114100
22068.56,567301,533999,3887864,1839876,5040,219920,13615,515680,58,79364,1041,65476,3252,119300,2133,114100
23072.95,567696,534375,3887864,1840116,5047,219920,13625,515680,58,79364,1042,65476,3254,119300,2134,114104
24076.72,568095,534757,3887864,1840580,5050,219920,13632,515680,58,79364,1042,65476,3256,119300,2134,114104
