time,sent,received,total
1.73,4832.46,16949.99,21.27
1002.34,4832.76,16950.6,21.27
2003.41,4833.08,16950.87,21.27
3004.82,4833.99,16952.09,21.28
4006.13,4834.31,16952.71,21.28
5007.51,4837.71,16955.71,21.28
6008.52,4839.57,16957.39,21.29
7009.29,4839.57,16957.5,21.29
8009.92,4839.64,16957.72,21.29
9010.55,4840.01,16958.0,21.29
10011.2,4840.57,16958.71,21.29
11011.91,4859.98,17018.91,21.37
12012.57,4894.71,17047.66,21.43
13013.23,4923.21,17097.53,21.5
14013.88,4929.3,17100.5,21.51
15014.51,4929.44,17100.96,21.51
16015.15,4929.62,17101.15,21.51
17015.78,4930.13,17101.43,21.51
18016.41,4930.6,17101.68,21.52
19017.04,4930.66,17102.54,21.52
20017.67,4933.36,17105.02,21.52
21018.3,4934.6,17105.13,21.52
22019.37,4934.92,17106.58,21.52
23020.57,4935.98,17107.37,21.53
24021.41,4943.19,17170.25,21.59
