time,total,idle,mem_total,mem_free,1230/cpu,1230/rss,1257/cpu,1257/rss,1283/cpu,1283/rss,1316/cpu,1316/rss,1317/cpu,1317/rss,979/cpu,979/rss
1010.82,682197,643855,3887864,1835772,5957,219728,15649,516104,63,79368,1164,65320,3889,119552,2285,114008
2016.71,682593,644231,3887864,1835984,5962,219728,15660,516104,63,79368,1164,65320,3891,119552,2286,114008
3020.21,682992,644611,3887864,1836168,5966,219728,15666,516104,63,79368,1164,65320,3896,119552,2287,114008
4021.79,683391,644980,3887864,1829500,5967,219728,15669,516104,63,79368,1165,65320,3896,119552,2287,114008
5023.31,683790,645375,3887864,1829812,5968,219728,15671,516104,63,79368,1165,65320,3898,119552,2287,114008
6024.93,684190,645765,3887864,1830072,5971,219728,15676,516104,63,79368,1165,65320,3899,119552,2288,114008
7026.55,684585,646157,3887864,1830868,5972,219728,15679,516104,63,79368,1165,65320,3900,119552,2288,114008
8028.17,684986,646551,3887864,1832504,5974,219728,15681,516104,63,79368,1165,65320,3902,119552,2288,114008
9031.54,685382,646939,3887864,1833348,5976,219728,15685,516104,63,79368,1166,65320,3903,119552,2288,114008
10036.0,685782,647321,3887864,1831876,5979,219728,15691,516104,63,79368,1166,65320,3906,119552,2288,114008
11037.77,686173,647553,3887864,1828020,5993,219732,15763,516108,63,79368,1168,65320,3911,119552,2290,114008
12040.72,686569,647913,3887864,1828264,5997,219732,15769,516108,63,79368,1169,65320,3912,119552,2290,114008
13042.26,686966,648282,3887864,1828712,6000,219732,15778,516108,63,79368,1169,65320,3915,119552,2290,114008
14043.81,687363,648658,3887864,1823184,6001,219732,15780,516108,63,79368,1169,65320,3916,119552,2290,114008
15045.32,687761,649044,3887864,1824536,6003,219732,15784,516108,63,79368,1169,65320,3923,119552,2290,114008
16049.49,688155,649417,3887864,1827596,6009,219732,15794,516108,63,79368,1170,65320,3927,119552,2292,114008
17053.86,688552,649802,3887864,1827776,6009,219732,15798,516108,63,79368,1170,65320,3929,119552,2299,114008
18058.08,688953,650185,3887864,1828068,6018,219732,15801,516108,63,79368,1170,65320,3931,119552,2299,114008
19061.67,689348,650574,3887864,1828704,6021,219732,15806,516108,63,79368,1171,65320,3933,119552,2299,114008
20067.73,689746,650957,3887864,1829720,6024,219732,15812,516108,63,79368,1171,65320,3936,119552,2299,114008
21071.78,690141,651332,3887864,1830552,6030,219732,15824,516108,63,79368,1172,65320,3938,119552,2301,114008
22076.66,690535,651714,3887864,1831392,6034,219732,15831,516108,63,79368,1172,65320,3940,119552,2301,114008
23080.99,690930,652094,3887864,1831824,6038,219732,15838,516108,63,79368,1173,65320,3943,119552,2302,114008
24082.74,691329,652457,3887864,1834880,6040,219732,15843,516108,63,79368,1173,65320,3946,119552,2303,114008
