time,total,idle,mem_total,mem_free,947/cpu,947/rss
1006.47,683834,653165,3887864,2132120,339,91204
2007.3,684225,653533,3887864,2134136,340,91204
3009.76,684625,653924,3887864,2134136,340,91204
4010.41,685021,654302,3887864,2130288,340,91204
5011.05,685420,654699,3887864,2130320,340,91204
6011.85,685818,655089,3887864,2130888,340,91204
7013.36,686217,655473,3887864,2132296,342,91204
8020.95,686614,655845,3887864,2132048,342,91204
9022.28,687013,656236,3887864,2132048,342,91204
10023.69,687409,656625,3887864,2132600,342,91204
11024.62,687801,656936,3887864,2129284,342,91204
12025.44,688189,657252,3887864,2115100,342,91204
13029.4,688584,657586,3887864,2110384,343,91204
14030.07,688981,657964,3887864,2114936,343,91204
15030.71,689379,658359,3887864,2116684,343,91204
16032.0,689779,658750,3887864,2117420,343,91204
17033.52,690176,659139,3887864,2118300,344,91204
18035.11,690575,659526,3887864,2118892,344,91204
19036.81,690973,659910,3887864,2119504,344,91204
20038.38,691374,660300,3887864,2120512,344,91204
21039.98,691768,660677,3887864,2121980,344,91204
22041.13,692166,661045,3887864,2122628,345,91204
23042.86,692560,661421,3887864,2123672,345,91204
24043.96,692961,661790,3887864,2123992,345,91204
25044.79,693349,662096,3887864,2119824,345,91204
