time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss
1004.0,7373571,7236689,16370460,9444312,3661,109788,21393,77460,36931,534596,1975,65080,13230,125832
2009.13,7374167,7237278,16370460,9444312,3661,109788,21394,77460,36935,534596,1975,65080,13232,125832
3014.35,7374767,7237870,16370460,9444312,3662,109788,21395,77460,36938,534596,1975,65080,13233,125832
4018.87,7375364,7238459,16370460,9444312,3662,109788,21397,77460,36942,534596,1975,65080,13234,125832
5024.46,7375963,7239051,16370460,9444312,3662,109788,21400,77460,36945,534596,1975,65080,13235,125832
6028.48,7376561,7239642,16370460,9444312,3663,109788,21401,75784,36948,534596,1975,65080,13237,125832
7033.33,7377160,7240233,16370460,9444312,3663,109788,21403,75784,36951,534596,1975,65080,13237,125832
8038.62,7377761,7240827,16370460,9444312,3663,109788,21403,75784,36954,534596,1976,65080,13239,125832
9042.82,7378360,7241420,16370460,9444312,3663,109788,21404,75784,36955,534596,1976,65080,13239,125832
10048.2,7378957,7242003,16370460,9438768,3663,109788,21406,75784,36959,534596,1977,65080,13241,125832
11049.58,7379547,7242509,16370460,9425604,3665,109788,21412,75308,36966,534596,1977,65080,13242,125832
12053.01,7380141,7243069,16370460,9447652,3665,109788,21414,75164,36969,534596,1977,65080,13244,125832
13058.9,7380741,7243663,16370460,9447400,3665,109788,21415,75164,36970,534596,1977,65080,13244,125832
14063.27,7381337,7244250,16370460,9446644,3665,109788,21417,75292,36974,534596,1977,65080,13245,125832
15069.11,7381938,7244839,16370460,9446644,3665,109788,21420,75420,36977,534596,1977,65080,13247,125832
16074.33,7382535,7245423,16370460,9446392,3665,109788,21421,75548,36981,534596,1978,65080,13248,125832
17077.7,7383134,7246016,16370460,9446392,3666,109788,21422,75548,36983,534596,1978,65080,13249,125832
18083.26,7383733,7246610,16370460,9446392,3666,109788,21422,75548,36986,534596,1978,65080,13251,125832
19087.79,7384333,7247203,16370460,9446392,3666,109788,21424,75548,36989,534596,1978,65080,13252,125832
20093.46,7384932,7247794,16370460,9446140,3667,109788,21426,75548,36991,534596,1978,65080,13253,125832
21097.21,7385529,7248385,16370460,9446140,3667,109788,21427,75548,36994,534596,1978,65080,13254,125832
22101.85,7386127,7248972,16370460,9455256,3667,109788,21427,75548,36996,534596,1978,65080,13255,125832
