time,total,idle,mem_total,mem_free,2559/cpu,2559/rss
1006.48,6149374,5946362,3887864,985472,52326,183456
2008.02,6149774,5946751,3887864,985948,52331,183456
3009.6,6150173,5947142,3887864,987108,52334,183456
4010.46,6150568,5947513,3887864,989336,52336,183456
5011.15,6150967,5947910,3887864,989336,52338,183456
6013.86,6151367,5948303,3887864,989588,52340,183456
7014.5,6151765,5948699,3887864,989840,52342,183456
8015.14,6152165,5949096,3887864,989840,52343,183456
9016.16,6152561,5949482,3887864,990092,52348,183456
10017.73,6152958,5949875,3887864,990344,52350,183456
11038.58,6153355,5950204,3887864,988048,52362,183456
12039.41,6153751,5950591,3887864,988048,52364,183456
13040.13,6154149,5950945,3887864,985904,52369,183572
14040.86,6154547,5951326,3887864,987032,52370,183572
15041.59,6154947,5951718,3887864,987032,52377,183572
16043.04,6155345,5952106,3887864,987032,52380,183572
17044.7,6155743,5952495,3887864,987500,52383,183572
18046.36,6156142,5952887,3887864,989364,52386,183572
19050.65,6156543,5953272,3887864,989364,52394,183572
20051.5,6156942,5953670,3887864,989616,52396,183572
21052.21,6157340,5954061,3887864,990120,52399,183572
22052.88,6157739,5954458,3887864,989868,52399,183572
23053.64,6158137,5954855,3887864,990372,52401,183572
24054.39,6158535,5955205,3887864,982256,52406,183592
