time,total,idle,mem_total,mem_free,2468/cpu,2468/rss
1005.49,6261021,5880798,3887864,188872,202079,840608
2006.6,6261418,5881182,3887864,188872,202087,840608
3007.5,6261815,5881572,3887864,189212,202094,840608
4008.36,6262214,5881960,3887864,189656,202103,840608
5009.62,6262618,5882353,3887864,189992,202107,840608
6012.07,6263015,5882725,3887864,188988,202119,842040
7014.19,6263412,5883110,3887864,189276,202130,842040
8016.33,6263804,5883473,3887864,189340,202147,842040
9017.84,6264199,5883856,3887864,189460,202159,842040
10019.47,6264596,5884227,3887864,189908,202179,840888
11021.19,6264986,5884440,3887864,181664,202246,838944
12021.9,6265383,5884727,3887864,167676,202266,838944
13022.57,6265775,5885077,3887864,166944,202287,839072
14023.21,6266174,5885465,3887864,167360,202294,839072
15023.84,6266572,5885856,3887864,169444,202299,839112
16025.25,6266966,5886235,3887864,171284,202310,839112
17026.29,6267359,5886610,3887864,172488,202324,839216
18028.46,6267758,5886985,3887864,174036,202339,839308
19029.89,6268153,5887371,3887864,175608,202349,839220
20031.11,6268547,5887745,3887864,177204,202366,839260
21031.88,6268943,5888106,3887864,184256,202377,839260
22032.59,6269340,5888490,3887864,184612,202387,839280
23033.51,6269740,5888882,3887864,184428,202392,839288
