time,sent,received,total
1.54,88067.75,471967.13,546.91
1002.34,88072.58,471969.25,546.92
2003.08,88072.97,471969.66,546.92
3004.47,88073.34,471969.83,546.92
4005.89,88074.91,471972.86,546.92
5007.29,88074.91,471972.92,546.92
6008.34,88075.45,471973.1,546.92
7009.4,88075.45,471973.27,546.92
8010.33,88077.16,471974.72,546.92
9011.12,88078.41,471975.83,546.93
10011.81,88079.06,471976.04,546.93
11012.5,88122.1,471986.59,546.98
12013.06,88148.13,472010.28,547.03
13013.69,88183.81,472029.66,547.08
14014.68,88184.38,472030.1,547.08
15015.9,88184.63,472030.36,547.08
16016.87,88186.49,472032.05,547.09
17017.92,88186.77,472032.16,547.09
18018.7,88186.96,472032.27,547.09
19019.33,88188.05,472033.2,547.09
20019.96,88188.05,472033.26,547.09
21020.59,88188.71,472033.6,547.09
22021.22,88188.94,472033.66,547.09
23022.3,88189.32,472033.87,547.09
