time,total,idle,mem_total,mem_free,2468/cpu,2468/rss
1003.23,6490201,6096354,3887864,192496,209841,836040
2004.55,6490597,6096731,3887864,193268,209857,836040
3005.92,6490993,6097114,3887864,193084,209869,836040
4007.56,6491388,6097492,3887864,193276,209881,836036
5008.75,6491783,6097874,3887864,194260,209892,836040
6010.14,6492180,6098246,3887864,194632,209908,836040
7011.01,6492576,6098609,3887864,191548,209917,836040
8011.9,6492975,6098999,3887864,194032,209924,836040
9012.56,6493375,6099389,3887864,193928,209930,836688
10013.48,6493773,6099776,3887864,191492,209936,836684
11014.49,6494164,6099990,3887864,187352,210006,834808
12015.18,6494544,6100285,3887864,174968,210024,834820
13015.83,6494940,6100641,3887864,174488,210044,834620
14016.46,6495343,6101033,3887864,174488,210049,834620
15017.09,6495740,6101409,3887864,172776,210056,834624
16017.72,6496136,6101796,3887864,175508,210063,834732
17018.87,6496533,6102162,3887864,178084,210074,834744
18020.23,6496930,6102537,3887864,178696,210090,834772
19021.89,6497324,6102918,3887864,181084,210103,834776
20023.37,6497720,6103297,3887864,182568,210114,834776
21024.77,6498113,6103679,3887864,183064,210127,834796
22026.29,6498513,6104057,3887864,184096,210142,834864
23027.69,6498911,6104436,3887864,184724,210157,834868
