time,sent,received,total
1.89,90566.92,473117.13,550.47
1002.42,90570.33,473117.81,550.48
2003.23,90570.33,473117.87,550.48
3004.05,90570.42,473118.06,550.48
4005.02,90570.87,473118.22,550.48
5006.16,90572.65,473119.59,550.48
6007.33,90572.97,473121.0,550.48
7008.56,90573.52,473121.21,550.48
8009.39,90574.62,473121.78,550.48
9010.02,90575.46,473123.09,550.49
10011.9,90575.46,473123.15,550.49
11014.18,90617.92,473138.09,550.54
12015.02,90641.51,473159.38,550.59
13015.64,90679.61,473184.25,550.65
14016.32,90685.95,473185.55,550.66
15016.94,90686.25,473185.8,550.66
16017.71,90688.07,473188.5,550.66
17018.35,90688.07,473188.56,550.66
18018.99,90688.15,473188.75,550.66
19019.61,90689.08,473189.43,550.66
20020.24,90689.34,473190.22,550.66
21020.87,90691.22,473191.75,550.67
22021.49,90691.71,473192.23,550.67
23022.39,90691.8,473192.42,550.67
