time,total,idle,mem_total,mem_free,11145/cpu,11145/rss
1004.53,8203796,8054578,16370456,9325720,85320,916124
2009.27,8204397,8055172,16370456,9325720,85325,916124
3014.31,8204996,8055764,16370456,9325472,85330,916124
4017.39,8205595,8056358,16370456,9325472,85336,916124
5020.99,8206195,8056949,16370456,9325472,85342,916124
6027.42,8206796,8057542,16370456,9325472,85348,916124
7033.81,8207397,8058136,16370456,9325472,85354,916124
8038.43,8207994,8058728,16370456,9325472,85361,916124
9044.4,8208593,8059316,16370456,9329756,85366,916124
10049.02,8209192,8059898,16370456,9313628,85374,916124
11054.12,8209783,8060405,16370456,9322640,85390,914172
12057.36,8210375,8060960,16370456,9341936,85398,914204
13062.08,8210974,8061553,16370456,9341436,85404,914204
14069.36,8211576,8062146,16370456,9340680,85409,914204
15074.04,8212174,8062740,16370456,9340680,85415,914204
16079.02,8212772,8063332,16370456,9340680,85420,914204
17082.17,8213371,8063921,16370456,9340456,85427,914204
18086.95,8213970,8064515,16370456,9340456,85432,914204
19093.27,8214569,8065101,16370456,9340708,85439,915100
20098.43,8215170,8065691,16370456,9340456,85446,915100
21102.31,8215769,8066284,16370456,9340008,85451,915100
22105.81,8216367,8066878,16370456,9340008,85456,915100
