time,sent,received,total
1.93,126125.58,1400019.68,1490.38
1003.42,126127.75,1400021.28,1490.38
2007.1,126130.99,1400023.73,1490.38
3011.26,126134.37,1400026.12,1490.39
4016.33,126137.43,1400028.5,1490.4
5020.93,126140.91,1400030.95,1490.4
6025.66,126144.39,1400033.47,1490.41
7028.29,126147.45,1400035.72,1490.41
8032.39,126150.89,1400038.1,1490.42
9037.97,126154.16,1400040.55,1490.42
10044.31,126157.73,1400043.2,1490.43
11046.23,126170.49,1400060.22,1490.46
12050.97,126175.4,1400063.5,1490.47
13055.61,126178.88,1400066.08,1490.47
14060.75,126182.37,1400068.54,1490.48
15063.48,126185.65,1400070.92,1490.48
16068.38,126188.9,1400073.31,1490.49
17073.41,126192.17,1400075.7,1490.5
18077.06,126195.61,1400078.08,1490.5
19081.3,126198.95,1400080.47,1490.51
20084.72,126202.12,1400082.86,1490.51
21086.93,126205.4,1400085.24,1490.52
22091.42,126208.94,1400087.89,1490.52
