time,sent,received,total
2.42,132564.98,1404981.94,1501.51
1003.27,132566.4,1404982.91,1501.51
2007.46,132569.81,1404985.54,1501.52
3011.63,132573.2,1404988.19,1501.52
4017.21,132576.46,1404990.64,1501.53
5021.37,132579.95,1404993.03,1501.54
6027.11,132582.93,1404995.41,1501.54
7031.39,132586.07,1404997.72,1501.55
8035.73,132589.42,1405000.11,1501.55
9039.31,132592.88,1405002.56,1501.56
10043.09,132596.48,1405005.07,1501.56
11046.09,132608.86,1405021.7,1501.59
12048.91,132613.5,1405024.85,1501.6
13053.43,132616.72,1405027.1,1501.6
14057.47,132619.93,1405029.49,1501.61
15062.69,132623.2,1405031.87,1501.62
16070.4,132626.7,1405034.26,1501.62
17074.4,132630.1,1405036.97,1501.63
18080.62,132633.34,1405039.22,1501.63
19085.84,132636.73,1405041.67,1501.64
20091.29,132640.17,1405043.92,1501.64
21096.33,132643.74,1405046.37,1501.65
22101.32,132646.99,1405048.82,1501.66
