time,total,idle,mem_total,mem_free,11145/cpu,11145/rss
1004.91,8855135,8695239,16370456,9311852,92358,926932
2012.37,8855735,8695828,16370456,9316136,92364,926932
3016.61,8856337,8696419,16370456,9316136,92371,926932
4020.96,8856934,8697013,16370456,9316136,92376,926932
5024.98,8857534,8697605,16370456,9316136,92382,926932
6029.55,8858133,8698198,16370456,9316136,92388,926932
7034.86,8858733,8698791,16370456,9316136,92393,926932
8038.49,8859333,8699387,16370456,9316136,92397,926932
9043.09,8859933,8699976,16370456,9316136,92404,926932
10047.7,8860531,8700563,16370456,9295976,92410,926932
11051.16,8861121,8701073,16370456,9320748,92429,924944
12055.52,8861719,8701660,16370456,9316004,92436,925072
13060.95,8862317,8702251,16370456,9316004,92443,925200
14065.91,8862917,8702843,16370456,9315248,92449,926992
15071.01,8863516,8703436,16370456,9315248,92455,926992
16076.48,8864116,8704006,16370456,9315248,92483,926992
17080.66,8864714,8704596,16370456,9315248,92489,926992
18084.99,8865313,8705189,16370456,9315248,92495,926992
19089.89,8865916,8705780,16370456,9315248,92502,926992
20093.12,8866513,8706372,16370456,9315248,92508,926992
21098.42,8867113,8706963,16370456,9314996,92515,926992
