time,total,idle,mem_total,mem_free,2257/cpu,2257/rss,2290/cpu,2290/rss,2305/cpu,2305/rss,2313/cpu,2313/rss,3197/cpu,3197/rss,3198/cpu,3198/rss
1004.86,415364,371675,3887864,1029080,4600,104216,2115,70188,12936,644360,2516,122100,112,41632,436,88120
2008.78,415758,372026,3887864,1029152,4604,104216,2118,70188,12944,644360,2517,122100,112,41632,436,88120
3012.95,416154,372382,3887864,1029152,4610,104216,2121,70192,12955,644364,2520,122100,112,41632,436,88120
4015.27,416544,372711,3887864,1028668,4615,104216,2124,70192,12966,644364,2523,122100,112,41632,436,88120
5017.19,416940,373072,3887864,1028472,4618,104216,2126,70192,12972,644364,2524,122100,112,41632,436,88120
6018.91,417335,373426,3887864,1029296,4620,104224,2127,70192,12979,644364,2526,122100,112,41632,436,88120
7020.52,417727,373798,3887864,1029048,4625,104224,2128,70192,12988,644364,2530,122100,112,41632,437,88120
8022.58,418122,374163,3887864,1023528,4628,104224,2129,70192,12994,644364,2531,122100,112,41632,437,88120
9026.47,418507,374508,3887864,1019248,4632,104232,2131,70192,13003,644364,2532,122100,112,41632,437,88120
10030.45,418900,374865,3887864,1019652,4638,104232,2134,70192,13014,644364,2535,122100,112,41632,437,88120
11033.98,419291,375030,3887864,1005000,4654,104240,2136,70192,13051,644364,2543,122104,113,41648,439,88120
12035.77,419684,375383,3887864,1007140,4658,104240,2139,70212,13060,644364,2544,122104,113,41648,441,88120
13038.63,420069,375638,3887864,1001760,4666,104244,2141,70236,13077,644368,2549,122104,113,41648,442,88124
14040.35,420472,376019,3887864,1003320,4668,104244,2142,70236,13084,644368,2550,122104,113,41648,442,88124
15042.02,420864,376362,3887864,1017752,4673,104244,2144,70236,13092,644368,2551,122104,113,41648,442,88124
16044.93,421252,376722,3887864,1019600,4678,104244,2147,70236,13100,644368,2557,122104,113,41648,442,88124
17047.77,421643,377049,3887864,1015348,4685,104244,2150,70264,13115,644368,2560,122104,113,41648,443,88124
18049.46,422044,377426,3887864,1021792,4688,104244,2151,70264,13121,644368,2561,122104,113,41648,443,88124
19051.21,422438,377796,3887864,1022836,4691,104244,2153,70268,13128,644368,2563,122104,114,41648,444,88124
20052.89,422832,378152,3887864,1031704,4694,104244,2155,70284,13136,644368,2565,122104,114,41648,444,88124
21054.84,423228,378528,3887864,1031704,4698,104244,2156,70284,13141,644368,2566,122104,115,41660,444,88124
22058.8,423625,378880,3887864,1028704,4702,104244,2159,70284,13150,644368,2567,122104,115,41660,445,88128
23062.76,424019,379237,3887864,1028704,4709,104244,2162,70296,13161,644368,2570,122104,115,41660,445,88128
