time,sent,received,total
4.52,1227.69,3836.3,4.94
1006.38,1227.76,3836.46,4.95
2007.69,1230.17,3838.09,4.95
3008.74,1230.46,3838.2,4.95
4009.8,1230.46,3838.26,4.95
5010.53,1232.44,3847.77,4.96
6011.13,1232.44,3847.83,4.96
7011.73,1233.14,3852.03,4.97
8012.29,1235.94,3857.74,4.97
9012.89,1236.12,3857.8,4.97
10013.87,1236.63,3858.93,4.98
11014.9,1238.36,3872.34,4.99
12015.66,1244.13,3890.3,5.01
13016.24,1248.16,3907.44,5.03
14016.86,1249.24,3911.64,5.04
15017.46,1249.94,3912.76,5.04
16018.05,1250.13,3912.96,5.04
17019.27,1251.15,3917.24,5.05
18020.45,1254.02,3919.08,5.05
19021.68,1254.86,3923.28,5.06
20022.92,1256.31,3925.22,5.06
21024.19,1256.31,3925.28,5.06
22025.31,1257.48,3925.95,5.06
23026.47,1257.81,3926.28,5.06
24027.33,1259.83,3938.37,5.08
