time,total,idle,mem_total,mem_free,2117/cpu,2117/rss,2292/cpu,2292/rss
1013.11,436209,424999,3887864,2501336,2111,97252,36,2816
2014.08,436608,425371,3887864,2496284,2113,97252,36,2816
3014.89,437007,425765,3887864,2498968,2116,97252,36,2816
4015.67,437406,426159,3887864,2499188,2120,97256,36,2816
5016.5,437804,426554,3887864,2498948,2122,97256,36,2816
6017.31,438204,426952,3887864,2498948,2123,97320,36,2816
7019.22,438604,427349,3887864,2498812,2124,97320,36,2816
8021.37,439005,427743,3887864,2499296,2126,97320,36,2816
9023.5,439405,428138,3887864,2499460,2127,97320,36,2816
10025.73,439805,428533,3887864,2499560,2129,97320,36,2816
11027.59,440204,428908,3887864,2498832,2135,97324,36,2816
12028.66,440598,429230,3887864,2484736,2143,97328,36,2816
13029.54,440985,429576,3887864,2474864,2148,97328,36,2816
14030.41,441383,429962,3887864,2474860,2152,97328,36,2816
15031.27,441783,430357,3887864,2474860,2155,97328,36,2816
16032.11,442184,430752,3887864,2477288,2156,97328,36,2816
17034.12,442583,431149,3887864,2478340,2157,97328,36,2816
18036.19,442980,431542,3887864,2480032,2159,97332,36,2816
19038.4,443380,431938,3887864,2481632,2161,97332,36,2816
20040.53,443780,432333,3887864,2483632,2163,97332,36,2816
21042.66,444180,432726,3887864,2484636,2165,97332,36,2816
22044.82,444579,433116,3887864,2485192,2166,97332,36,2816
23045.87,444978,433492,3887864,2483456,2170,97332,36,2816
24046.8,445379,433885,3887864,2484012,2173,97340,36,2816
25047.76,445775,434238,3887864,2490112,2178,97340,36,2816
