time,sent,received,total
1.37,7846.37,2908.36,10.5
1002.11,7849.36,2908.67,10.51
2002.76,7849.61,2909.07,10.51
3003.39,7849.91,2909.18,10.51
4004.17,7852.12,2910.39,10.51
5004.89,7852.26,2910.55,10.51
6005.54,7852.37,2910.66,10.51
7006.22,7853.59,2912.06,10.51
8006.86,7858.0,2913.17,10.52
9007.5,7859.82,2913.96,10.52
10008.58,7868.57,2915.54,10.53
11012.27,7883.08,2916.85,10.55
12013.15,7909.45,2922.76,10.58
13014.28,7909.7,2923.18,10.58
14015.89,7911.23,2923.87,10.58
15016.54,7935.43,2928.91,10.61
16017.17,7943.85,2930.29,10.62
17017.82,7945.6,2932.3,10.62
18018.43,7950.18,2933.2,10.63
19019.08,7952.61,2934.43,10.63
20019.74,7956.76,2935.2,10.64
21020.75,7956.95,2935.31,10.64
22021.83,7956.95,2935.37,10.64
23022.82,7957.26,2935.61,10.64
24023.57,7959.65,2936.93,10.64
25024.52,7960.04,2937.24,10.64
