time,sent,received,total
1.3,8059.12,2961.17,10.76
1001.99,8064.38,2961.75,10.77
2002.95,8069.81,2963.92,10.77
3003.65,8071.14,2964.47,10.78
4004.29,8071.26,2964.58,10.78
5004.92,8075.47,2965.35,10.78
6005.56,8075.95,2965.59,10.78
7006.19,8075.95,2965.65,10.78
8007.3,8077.59,2966.34,10.78
9009.02,8086.32,2968.07,10.79
10013.86,8086.5,2968.18,10.79
11014.56,8103.13,2970.62,10.81
12015.76,8122.11,2976.32,10.84
13016.43,8153.85,2983.81,10.88
14017.27,8153.85,2983.87,10.88
15018.31,8158.58,2984.79,10.88
16019.53,8158.65,2985.12,10.88
17020.35,8158.78,2985.23,10.88
18021.46,8160.29,2985.97,10.88
19022.9,8160.41,2986.08,10.88
20023.7,8160.41,2986.14,10.88
21024.44,8160.54,2986.25,10.88
22025.27,8160.54,2986.3,10.88
23025.98,8167.24,2988.96,10.89
