time,total,idle,mem_total,mem_free,2117/cpu,2117/rss,2292/cpu,2292/rss
1003.4,633965,617492,3887864,2487228,3495,97304,57,2816
2005.87,634363,617887,3887864,2487732,3498,97304,57,2816
3007.87,634762,618280,3887864,2487732,3502,97304,57,2816
4009.94,635162,618674,3887864,2487740,3502,97304,57,2816
5011.92,635561,619070,3887864,2488956,3504,97304,57,2816
6013.98,635962,619465,3887864,2489328,3505,97304,57,2816
7015.78,636359,619855,3887864,2489876,3509,97304,57,2816
8018.09,636755,620231,3887864,2483472,3510,97304,57,2816
9018.93,637157,620629,3887864,2483748,3511,97304,57,2816
10019.75,637556,621027,3887864,2484044,3512,97304,58,2816
11020.67,637956,621417,3887864,2483664,3516,97304,58,2816
12021.6,638349,621754,3887864,2473320,3524,97308,58,2816
13023.69,638742,622111,3887864,2470956,3534,97308,58,2816
14027.94,639137,622487,3887864,2470956,3540,97312,58,2816
15030.1,639535,622877,3887864,2472000,3544,97336,58,2816
16032.15,639936,623272,3887864,2472200,3545,97336,59,2816
17033.87,640333,623657,3887864,2472408,3551,97340,59,2816
18034.89,640729,624032,3887864,2476756,3552,97352,59,2816
19035.77,641131,624429,3887864,2477200,3553,97352,59,2816
20036.76,641531,624819,3887864,2477432,3554,97352,59,2816
21037.66,641929,625215,3887864,2477780,3556,97352,59,2816
22038.49,642329,625608,3887864,2477796,3559,97352,59,2816
23040.51,642727,626002,3887864,2478368,3562,97352,59,2816
24042.82,643126,626396,3887864,2479108,3563,97352,59,2816
25045.66,643516,626730,3887864,2483396,3567,97352,59,2816
