time,total,idle,mem_total,mem_free,2257/cpu,2257/rss,2290/cpu,2290/rss,2305/cpu,2305/rss,2313/cpu,2313/rss,3197/cpu,3197/rss,3198/cpu,3198/rss
1004.09,716820,636248,3887864,966044,8360,111528,3647,70844,21379,654004,4298,122460,189,41988,776,88560
2005.59,717211,636587,3887864,963828,8363,111528,3648,70844,21386,654004,4300,122460,189,41988,776,88560
3008.87,717601,636947,3887864,966108,8369,111528,3650,70844,21396,654004,4302,122460,189,41988,780,88560
4010.77,717993,637277,3887864,972620,8375,111528,3654,70844,21408,654004,4305,122460,189,41988,781,88560
5012.52,718388,637657,3887864,973636,8377,111528,3655,70844,21413,654004,4307,122460,189,41988,781,88560
6014.56,718784,638029,3887864,974172,8381,111528,3657,70844,21422,654004,4308,122460,189,41988,781,88560
7017.23,719178,638387,3887864,983100,8384,111528,3659,70844,21430,654016,4310,122460,189,41988,781,88560
8019.03,719575,638762,3887864,983252,8387,111528,3660,70844,21434,654016,4311,122460,190,41988,781,88560
9022.17,719968,639111,3887864,985428,8392,111528,3661,70844,21443,654016,4314,122460,190,41988,782,88560
10025.7,720356,639463,3887864,986256,8400,111528,3665,70844,21457,654016,4317,122460,190,41988,782,88560
11031.82,720749,639628,3887864,960504,8415,111532,3667,70844,21495,654036,4323,122460,190,41988,783,88568
12033.52,721142,639966,3887864,965520,8420,111532,3670,70844,21506,654048,4326,122460,190,41988,785,88568
13036.09,721534,640220,3887864,958364,8424,111532,3671,70844,21514,654048,4328,122460,190,41988,785,88568
14038.37,721924,640508,3887864,958280,8430,111532,3674,70844,21528,654052,4332,122460,190,41988,786,88568
15040.11,722319,640861,3887864,962948,8434,111532,3676,70844,21536,654052,4333,122460,190,41988,786,88568
16044.56,722710,641226,3887864,964164,8440,111532,3677,70844,21547,654052,4337,122460,190,41988,787,88568
17048.34,723099,641576,3887864,965000,8447,111532,3680,70844,21561,654052,4339,122460,190,41988,787,88568
18050.15,723494,641925,3887864,986924,8449,111532,3683,70844,21568,654052,4340,122460,190,41988,787,88568
19052.1,723888,642303,3887864,986844,8452,111532,3685,70844,21573,654052,4343,122460,190,41988,787,88568
20055.26,724279,642652,3887864,973900,8458,111536,3686,70844,21583,654052,4346,122460,190,41988,787,88568
21058.57,724674,643031,3887864,974796,8460,111592,3687,70844,21590,654052,4347,122460,190,41988,788,88568
22060.8,725068,643363,3887864,979244,8466,111700,3688,70844,21600,654052,4349,122460,190,41988,789,88568
23064.95,725458,643718,3887864,980252,8470,111700,3690,70844,21610,654052,4351,122460,190,41988,789,88568
24066.96,725848,644051,3887864,980736,8475,111800,3694,70844,21620,654052,4353,122460,190,41988,789,88568
