time,sent,received,total
3.55,2243.59,7113.13,9.14
1004.9,2243.94,7113.34,9.14
2006.16,2244.52,7114.87,9.14
3006.89,2245.22,7119.07,9.14
4007.47,2245.22,7119.07,9.14
5008.04,2245.59,7119.26,9.14
6008.62,2245.59,7119.32,9.14
7009.2,2247.41,7121.58,9.15
8010.19,2247.41,7121.68,9.15
9011.22,2249.28,7126.55,9.16
10012.33,2249.47,7126.84,9.16
11013.44,2251.95,7140.44,9.17
12014.39,2258.88,7160.29,9.2
13058.6,2260.0,7164.85,9.2
14059.28,2262.14,7166.58,9.21
15059.92,2266.61,7187.7,9.23
16060.51,2269.14,7197.3,9.24
17061.09,2270.97,7206.71,9.25
18062.12,2272.4,7207.95,9.26
19063.28,2273.52,7212.2,9.26
20064.39,2274.9,7220.5,9.27
21065.57,2274.9,7220.55,9.27
22066.72,2275.55,7221.78,9.27
23067.45,2276.75,7226.12,9.28
24068.03,2276.75,7226.17,9.28
25068.61,2276.75,7226.23,9.28
26069.19,2278.68,7238.38,9.29
