time,sent,received,total
2.24,27357.51,8607.91,35.12
1003.7,27359.17,8608.98,35.12
2004.47,27360.84,8609.24,35.13
3005.05,27362.63,8609.88,35.13
4005.63,27366.83,8613.33,35.14
5006.21,27381.54,8622.83,35.16
6006.8,27383.31,8623.58,35.16
7007.83,27388.53,8626.81,35.17
8008.6,27405.75,8635.59,35.2
9009.19,27408.69,8636.56,35.2
10009.84,27410.76,8636.87,35.2
11011.86,28259.4,8792.7,36.18
12012.55,28560.32,8877.05,36.56
13013.58,28852.89,8913.46,36.88
14014.32,29320.37,9047.75,37.47
15014.91,29322.22,9048.72,37.47
16015.53,29324.23,9049.07,37.47
17016.13,29330.63,9052.73,37.48
18017.05,29344.66,9061.46,37.51
19018.13,29350.42,9063.18,37.51
20019.09,29364.63,9071.85,37.54
21020.15,29366.55,9072.98,37.54
22020.9,29371.95,9075.9,37.55
23021.48,29373.65,9076.49,37.55
24022.07,29376.86,9077.42,37.55
