time,total,idle,mem_total,mem_free,2390/cpu,2390/rss,2453/cpu,2453/rss,2470/cpu,2470/rss,2484/cpu,2484/rss,2526/cpu,2526/rss,2527/cpu,2527/rss
1006.58,521402,486266,3887864,1831992,3244,110740,5089,100296,13137,375072,51,79636,792,63860,2856,124016
2010.61,521798,486654,3887864,1832700,3245,110740,5092,100296,13142,375072,51,79636,793,63860,2858,124016
3014.71,522195,487037,3887864,1833360,3245,110740,5095,100296,13149,375072,51,79636,793,63860,2860,124016
4018.84,522590,487415,3887864,1833616,3247,110740,5100,100300,13159,375072,51,79636,793,63860,2863,124016
5023.11,522985,487797,3887864,1833836,3247,110740,5104,100300,13166,375072,51,79636,795,63860,2866,124016
6024.82,523383,488168,3887864,1835012,3247,110740,5104,100300,13168,375072,51,79636,795,63860,2866,124016
7026.39,523780,488517,3887864,1835012,3247,110740,5108,100304,13211,375108,51,79636,796,63860,2868,124016
8027.95,524177,488905,3887864,1835012,3247,110740,5111,100304,13217,375120,51,79636,796,63860,2870,124016
9029.54,524574,489290,3887864,1835012,3249,110740,5115,100304,13225,375120,51,79636,796,63860,2871,124016
10031.51,524975,489681,3887864,1828460,3249,110740,5115,100304,13225,375120,51,79636,796,63860,2872,124016
11034.34,525364,489881,3887864,1823956,3250,110740,5140,100320,13317,375144,51,79636,798,63860,2881,124016
12037.37,525757,490226,3887864,1823460,3250,110740,5145,100320,13339,375144,51,79636,798,63860,2882,124020
13038.97,526152,490588,3887864,1824248,3251,110740,5148,100328,13342,375148,51,79636,799,63860,2883,124020
14041.04,526546,490871,3887864,1824088,3251,110740,5163,100332,13398,375160,51,79636,799,63860,2888,124020
15042.76,526943,491235,3887864,1824340,3251,110740,5171,100336,13415,375164,51,79636,799,63860,2891,124020
16044.4,527338,491591,3887864,1823304,3251,110740,5174,100336,13424,375164,51,79636,799,63860,2893,124020
17046.03,527736,491977,3887864,1823304,3251,110740,5178,100336,13431,375164,51,79636,800,63860,2895,124020
18047.63,528137,492362,3887864,1823576,3252,110740,5181,100336,13438,375164,51,79636,800,63860,2896,124020
19049.18,528533,492746,3887864,1824320,3253,110740,5185,100336,13445,375164,51,79636,800,63860,2897,124020
20050.75,528931,493142,3887864,1824528,3253,110740,5186,100336,13446,375164,51,79636,800,63860,2898,124020
21054.67,529330,493532,3887864,1825176,3253,110740,5187,100336,13450,375164,51,79636,801,63860,2900,124020
22058.86,529727,493919,3887864,1825704,3254,110740,5189,100340,13455,375164,51,79636,801,63860,2901,124020
23061.8,530125,494303,3887864,1827364,3254,110740,5192,100340,13461,375164,51,79636,804,63860,2904,124020
24066.54,530521,494683,3887864,1827228,3255,110740,5197,100340,13469,375164,51,79636,805,63860,2907,124020
