time,total,idle,mem_total,mem_free,1821/cpu,1821/rss,3395/cpu,3395/rss,3416/cpu,3416/rss,3473/cpu,3473/rss,3503/cpu,3503/rss,3889/cpu,3889/rss,3972/cpu,3972/rss
1011.22,505764,481469,3887864,1988708,370,86784,145,58456,453,58896,763,71848,1122,59544,291,70608,176,51056
2015.09,506160,481842,3887864,1988960,370,86784,145,58456,453,58896,763,71848,1122,59544,292,70608,176,51056
3020.79,506556,482229,3887864,1988684,371,86784,145,58456,454,58896,763,71848,1122,59544,292,70608,176,51056
4022.66,506955,482597,3887864,1988580,371,86784,147,58480,454,58896,763,71848,1123,59548,292,70608,177,51056
5024.36,507350,482990,3887864,1988544,371,86784,147,58480,454,58896,763,71848,1124,59548,292,70608,177,51056
6026.18,507750,483381,3887864,1989536,371,86784,147,58480,454,58896,763,71848,1124,59548,292,70608,177,51056
7027.91,508152,483773,3887864,1989412,372,86784,147,58480,454,58896,763,71848,1125,59548,292,70608,177,51056
8029.6,508550,484168,3887864,1989496,372,86784,147,58480,455,58896,764,71848,1125,59548,292,70608,177,51056
9033.25,508948,484540,3887864,1989752,372,86784,147,58480,455,58896,764,71848,1125,59548,292,70608,177,51056
10037.12,509343,484926,3887864,1988996,372,86784,147,58488,456,58896,765,71848,1127,59548,292,70608,177,51056
11042.13,509726,485176,3887864,1985616,373,86784,148,58576,462,58932,781,71860,1147,59568,294,70608,178,51056
12044.15,510116,485468,3887864,1966296,373,86784,148,58596,463,58932,786,71864,1153,60128,294,70608,179,51056
13046.24,510508,485820,3887864,1964640,373,86784,148,58596,464,58932,786,71864,1153,60132,294,70608,179,51056
14048.15,510892,486080,3887864,1956892,373,86784,150,58716,466,58936,796,71880,1162,60376,296,70608,179,51056
15050.04,511290,486444,3887864,1957976,373,86784,150,58744,467,58936,799,71884,1167,59872,299,70608,179,51056
16054.57,511685,486822,3887864,1959504,373,86784,150,58744,468,58936,800,71884,1167,59872,299,70608,180,51056
17058.61,512078,487191,3887864,1960128,373,86784,150,58744,468,58936,800,71884,1168,59876,299,70608,180,51056
18063.45,512473,487577,3887864,1960696,373,86784,150,58744,469,58936,802,71884,1169,59876,299,70608,180,51056
19067.36,512862,487942,3887864,1961872,373,86784,150,58744,469,58936,802,71884,1170,59876,300,70608,180,51056
20071.92,513259,488329,3887864,1962868,374,86784,150,58760,470,58936,803,71884,1171,59876,300,70608,180,51056
21075.68,513654,488705,3887864,1963948,374,86784,150,58760,470,58936,803,71884,1173,59876,300,70608,180,51056
22079.73,514051,489093,3887864,1965024,374,86784,150,58760,470,58936,803,71884,1173,59876,300,70608,180,51056
23083.74,514448,489480,3887864,1966412,374,86784,150,58760,471,58936,803,71884,1174,59876,300,70608,180,51056
24087.5,514846,489846,3887864,1964724,375,86784,150,58760,471,58936,803,71884,1174,59876,300,70608,181,51056
25089.34,515240,490192,3887864,1968496,375,86784,151,58820,473,58936,808,71896,1179,59876,304,70612,181,51056
