time,sent,received,total
1.77,66552.9,17235.6,81.82
1002.43,66572.01,17246.08,81.85
2004.41,66572.67,17246.19,81.85
3005.03,66573.5,17246.58,81.86
4005.61,66592.56,17256.8,81.88
5006.22,66598.47,17258.96,81.89
6007.11,66599.32,17259.2,81.89
7008.11,66600.31,17259.31,81.89
8008.82,66604.5,17264.37,81.9
9009.43,66604.68,17264.48,81.9
10010.16,66609.83,17265.81,81.91
11011.7,67489.56,17418.36,82.92
12015.31,67692.01,17481.61,83.18
13015.89,68324.63,17620.75,83.93
14016.49,68456.61,17656.38,84.09
15017.08,68462.7,17658.49,84.1
16017.68,68479.73,17668.75,84.13
17018.31,68479.96,17668.86,84.13
18019.28,68484.19,17671.9,84.14
19020.47,68484.52,17672.01,84.14
20021.46,68489.31,17673.27,84.14
21022.56,68490.69,17674.1,84.14
22023.31,68492.67,17674.4,84.15
23023.9,68492.9,17674.5,84.15
